IT8.7/1
ORIGINATOR            "Monaco Systems, Inc."
DESCRIPTOR            "IT8.7/1 Reference Data File, 4x5 Ektachrome"
CREATED               "2003:07:21"
MANUFACTURER          "Monaco Systems, Inc."
PROD_DATE             "2003:07"
SERIAL                "Batch Average Data"
MATERIAL              "Ektachrome"
INSTRUMENTATION       "Barbieri Spectro 100xy"
#
NUMBER_OF_FIELDS             7
#
BEGIN_DATA_FORMAT
SAMPLE_ID               XYZ_X   XYZ_Y   XYZ_Z   LAB_L   LAB_A   LAB_B
C9                       39.83   40.13   28.12   69.56    3.56    7.81
C10                      40.88   40.00   23.41   69.47    7.19   15.93
C11                      43.46   40.78   19.18   70.02   12.58   25.33
C12                      44.21   40.52   15.53   69.84   15.56   33.38
C13                      49.52   57.53   50.64   80.48  -15.44   -3.63
C14                      50.96   46.52   43.95   73.88   16.82   -7.17
C15                      59.86   63.78   38.80   83.85   -3.85   16.61
C16                      40.62   42.36   35.43   71.12   -0.69   -0.71
C17                      49.79   46.25   34.26   73.71   14.47    5.44
C18                      48.58   57.35   39.68   80.37  -17.55    9.46
C19                      42.72   43.95   45.84   72.19    1.04  -12.37
C20                       6.81   10.29   17.96   38.36  -27.65  -26.59
C21                       6.02    2.98    5.50   19.94   43.48  -19.14
C22                      18.59   17.73    1.62   49.16    7.99   58.35
D1                        4.22    4.45    2.52   25.11   -0.96    8.35
D2                        4.16    4.41    1.50   24.98   -1.24   18.03
D3                        4.14    4.41    0.84   24.99   -1.53   27.40
D4                        4.86    5.13    0.76   27.11   -1.14   32.45
D5                       17.18   18.11    9.71   49.63   -1.53   15.15
D6                       17.19   18.24    5.02   49.79   -2.14   34.76
D7                       17.36   18.57    2.36   50.18   -2.89   52.93
D8                       20.57   21.92    2.05   53.95   -2.72   62.27
D9                       46.63   49.00   24.65   75.45   -1.72   23.97
D10                      47.60   50.44   14.32   76.34   -2.85   47.63
D11                      47.08   51.01    7.03   76.68   -5.79   71.80
D12                      46.97   49.34    3.69   75.66   -1.69   87.07
D13                      44.93   54.61   50.76   78.82  -21.06   -6.64
D14                      45.84   38.79   40.50   68.60   25.56  -11.91
D15                      59.55   63.83   30.99   83.88   -4.70   27.89
D16                      30.32   31.72   26.44   63.11   -0.98   -0.49
D17                      43.00   37.44   25.27   67.61   21.63    9.33
D18                      42.81   53.54   32.36   78.19  -24.57   15.99
D19                      33.52   33.97   42.52   64.94    2.71  -20.80
D20                       3.89    5.98   10.42   29.36  -24.06  -22.14
D21                       3.42    1.80    3.57   14.39   33.37  -17.83
D22                       9.69    9.65    1.10   37.21    3.16   44.35
E1                        5.72    6.56    3.72   30.79   -6.69    9.50
E2                        5.18    6.58    2.30   30.83  -13.22   20.13
E3                        4.81    6.55    1.36   30.75  -17.50   29.74
E4                        5.25    7.53    1.19   32.98  -21.58   35.78
E5                       23.86   27.32   14.87   59.27  -10.53   16.79
E6                       22.67   28.43    9.43   60.27  -20.16   34.43
E7                       20.81   29.31    5.24   61.05  -32.19   53.05
E8                       20.73   29.52    3.26   61.24  -33.37   65.01
E9                       45.03   49.39   33.13   75.70   -7.33   10.54
E10                      41.96   49.20   25.38   75.57  -15.79   22.86
E11                      40.23   50.02   20.13   76.08  -23.29   33.79
E12                      37.12   48.39   15.04   75.07  -28.82   43.62
E13                      41.13   51.90   50.75   77.22  -25.43   -9.37
E14                      41.35   32.51   37.35   63.76   33.27  -16.06
E15                      59.29   63.64   24.68   83.78   -4.88   38.26
E16                      22.02   22.99   19.35   55.06   -0.67   -0.82
E17                      36.89   30.01   18.29   61.66   28.24   12.86
E18                      37.93   49.88   26.03   76.00  -30.17   22.45
E19                      26.19   25.88   39.19   57.92    5.16  -28.60
E20                       1.48    2.31    4.26   17.04  -18.17  -17.53
E21                       1.54    0.88    1.96    7.98   22.65  -16.19
E22                       3.91    3.92    0.65   23.40    1.99   28.00
F1                        3.72    4.71    3.46   25.90  -11.68    2.75
F2                        3.21    4.96    2.93   26.61  -22.85    7.75
F3                        2.85    5.17    2.44   27.22  -31.77   12.62
F4                        2.46    5.10    2.18   27.01  -38.11   14.55
F5                       11.91   15.05   10.99   45.71  -16.93    4.25
F6                        9.50   15.04    9.02   45.68  -34.96   10.73
F7                        7.52   14.63    7.30   45.12  -49.82   16.25
F8                        8.15   15.79    6.61   46.69  -50.84   21.85
F9                       29.72   34.47   26.31   65.34  -12.84    3.58
F10                      26.65   34.81   23.79   65.60  -26.05    8.55
F11                      24.09   35.33   21.54   66.01  -38.58   13.55
F12                      20.78   33.84   18.99   64.83  -48.67   16.80
F13                      38.28   49.75   50.86   75.91  -28.71  -11.75
F14                      37.47   27.52   34.38   59.45   39.66  -19.30
F15                      59.24   63.41   19.68   83.66   -4.52   47.78
F16                      16.11   16.82   14.05   48.04   -0.65   -0.47
F17                      32.02   24.35   13.14   56.43   34.03   16.47
F18                      33.85   46.43   21.05   73.82  -34.46   28.02
F19                      20.73   19.99   36.05   51.82    7.17  -34.83
F20                       0.42    0.68    1.16    6.18   -9.59  -10.01
F21                       0.46    0.32    0.63    2.93    6.08   -6.83
F22                       1.04    1.08    0.33    9.66    0.00   10.38
G1                        2.56    3.11    2.90   20.48   -7.99   -2.61
G2                        2.32    3.27    3.11   21.10  -15.50   -3.11
G3                        2.14    3.51    3.36   21.99  -23.34   -3.30
G4                        1.57    3.05    3.36   20.24  -29.59   -6.32
G5                       12.38   15.10   13.60   45.77  -13.97   -3.18
G6                       10.11   15.01   14.44   45.64  -29.90   -5.59
G7                        8.81   15.53   15.46   46.35  -43.50   -6.96
G8                        8.72   15.73   15.47   46.62  -45.45   -6.52
G9                       30.60   35.24   30.78   65.94  -12.14   -2.72
G10                      27.91   35.99   32.28   66.52  -24.92   -4.03
G11                      25.01   36.27   33.12   66.72  -37.67   -4.92
G12                      21.49   34.10   33.02   65.04  -46.15   -7.66
G13                      35.30   47.21   50.51   74.32  -31.64  -14.10
G14                      33.34   22.66   30.88   54.72   46.13  -22.21
G15                      58.98   62.79   15.71   83.33   -3.71   56.19
G16                      11.11   11.56    9.78   40.52   -0.32   -0.81
G17                      27.39   19.16    9.00   50.87   40.44   19.71
G18                      30.11   42.94   16.78   71.52  -37.99   33.27
G19                      15.66   14.59   32.18   45.06    9.63  -40.85
G20                      11.55    5.26    0.19   27.46   59.13   43.72
G21                      11.92   19.47    2.52   51.23  -40.70   53.36
G22                       2.51    1.48   12.31   12.50   25.23  -56.94
H1                        2.69    3.09    3.53   20.39   -5.25   -7.24
H2                        2.43    3.10    4.52   20.44  -10.48  -13.14
H3                        2.39    3.36    5.88   21.42  -15.48  -18.43
H4                        2.09    3.21    7.25   20.86  -19.36  -25.37
H5                       10.26   11.94   13.36   41.12   -9.22  -10.55
H6                        9.17   11.91   17.08   41.07  -17.76  -19.91
H7                        8.56   12.48   21.93   41.97  -26.82  -28.66
H8                        8.80   12.90   26.15   42.61  -27.54  -35.33
H9                       31.86   34.58   32.87   65.42   -5.28   -6.79
H10                      30.56   34.73   36.76   65.54  -10.53  -12.18
H11                      29.28   34.56   41.05   65.40  -14.79  -18.14
H12                      27.42   33.92   44.51   64.90  -19.89  -23.35
H13                      32.89   45.02   50.37   72.91  -33.88  -16.39
H14                      30.05   19.08   27.91   50.78   51.19  -24.24
H15                      58.46   61.73   12.51   82.77   -2.53   63.63
H16                       7.21    7.49    6.42   32.90   -0.07   -1.07
H17                      23.63   15.19    5.92   45.90   46.10   23.62
H18                      26.87   39.63   13.25   69.21  -40.70   38.18
H19                      11.72   10.49   28.62   38.71   11.84  -46.20
H20                       9.83    4.45    0.18   25.11   56.39   39.91
H21                       8.34   13.98    2.02   44.21  -38.39   45.71
H22                       1.71    0.93    8.70    8.37   25.33  -52.47
I1                        4.52    4.57    7.20   25.46    1.61  -17.23
I2                        4.58    4.53   10.77   25.34    2.87  -30.19
I3                        4.71    4.62   15.98   25.62    3.33  -43.97
I4                        5.22    5.06   21.80   26.90    4.21  -54.37
I5                       14.97   15.46   16.85   46.26    0.37  -10.45
I6                       14.73   15.03   21.61   45.67    1.47  -21.64
I7                       14.55   14.65   26.84   45.16    2.58  -32.12
I8                       13.90   13.99   32.27   44.22    2.58  -42.45
I9                       33.21   34.34   33.19   65.23    0.34   -7.60
I10                      32.77   33.80   37.00   64.81    0.65  -13.78
I11                      32.51   33.33   40.55   64.43    1.33  -19.17
I12                      31.75   32.62   43.27   63.85    1.06  -23.62
I13                      30.36   42.57   49.93   71.26  -35.97  -18.72
I14                      26.99   16.00   24.92   46.98   55.60  -25.62
I15                      57.80   60.36    9.71   82.03   -0.97   71.01
I16                       4.01    4.17    3.62   24.24   -0.24   -1.19
I17                      20.18   11.84    3.43   40.96   51.36   28.89
I18                      23.48   35.84    9.95   66.40  -42.93   43.25
I19                       8.34    7.03   24.82   31.88   14.70  -51.47
I20                       6.17    2.89    0.18   19.58   46.66   30.31
I21                       5.30    9.07    1.54   36.11  -34.54   36.75
I22                       1.28    0.72    6.48    6.54   21.39  -46.81
J1                        1.33    1.09    2.50    9.68    9.36  -18.11
J2                        1.72    1.14    4.96   10.13   18.03  -33.30
J3                        2.14    1.22    8.26   10.67   25.64  -46.89
J4                        2.54    1.51   12.34   12.65   25.28  -56.78
J5                        9.32    8.86   10.67   35.71    6.61  -12.00
J6                       10.14    8.80   15.11   35.60   13.57  -24.62
J7                       10.97    8.61   20.30   35.23   21.45  -37.01
J8                       10.93    8.07   24.26   34.13   25.88  -46.57
J9                       27.86   28.13   27.27   60.00    2.96   -7.24
J10                      28.61   27.95   30.97   59.84    6.60  -13.52
J11                      29.21   27.57   35.36   59.50   10.38  -20.64
J12                      29.85   27.29   38.84   59.24   13.90  -25.87
J13                      27.98   40.11   49.20   69.55  -37.70  -20.86
J14                      24.19   13.46   21.96   43.45   59.13  -26.18
J15                      56.92   58.66    7.43   81.11    0.88   77.79
J16                       2.03    2.15    1.84   16.26   -0.98   -0.73
J17                      17.30    9.32    1.80   36.60   55.31   34.77
J18                      20.42   32.08    7.32   63.41  -44.26   47.71
J19                       5.93    4.62   21.27   25.63   17.96  -55.52
J20                       3.60    1.76    0.19   14.17   37.09   20.93
J21                       3.05    5.30    1.08   27.58  -29.69   27.97
J22                       0.75    0.41    3.83    3.75   14.23  -37.81
K1                        2.44    2.02    2.71   15.60   10.66   -9.57
K2                        3.17    2.06    4.02   15.79   23.22  -18.26
K3                        3.84    2.05    5.14   15.73   33.97  -24.57
K4                        4.97    2.51    6.92   17.97   39.63  -29.00
K5                        7.62    6.34    7.93   30.26   15.19  -11.85
K6                        9.20    6.19   10.80   29.90   30.62  -22.43
K7                       11.11    6.24   14.23   30.00   45.00  -32.02
K8                       13.17    6.92   16.64   31.62   52.23  -35.19
K9                       24.58   23.27   23.02   55.35    9.51   -7.68
K10                      26.10   22.61   26.43   54.67   18.84  -15.02
K11                      28.91   22.49   30.51   54.55   30.56  -21.93
K12                      31.55   22.50   33.13   54.56   40.41  -25.91
K13                      25.45   37.31   48.16   67.51  -39.23  -23.17
K14                      21.42   11.20   18.66   39.91   61.84  -25.46
K15                      55.62   56.33    5.48   79.80    3.29   84.19
K16                       0.80    0.85    0.71    7.69   -0.73   -0.24
K17                      14.33    7.05    0.73   31.93   58.27   41.26
K18                      17.20   27.78    5.09   59.69  -44.78   51.48
K19                       4.13    2.87   17.48   19.51   21.85  -58.01
K20                       1.63    0.84    0.16    7.62   26.59   10.20
K21                       1.34    2.37    0.64   17.33  -23.35   17.79
K22                       0.43    0.28    2.04    2.52    6.50  -26.38
L1                        2.30    1.94    2.00   15.19    9.47   -4.07
L2                        3.12    2.05    2.26   15.74   22.51   -5.59
L3                        3.62    1.96    2.41   15.27   32.60   -7.70
L4                        4.53    2.23    2.80   16.63   39.77   -8.47
L5                        7.84    6.33    6.36   30.24   17.34   -5.40
L6                        9.72    6.22    6.76   29.95   34.63   -7.65
L7                       12.10    6.41    7.62   30.42   50.23  -10.39
L8                       14.98    7.01    8.51   31.83   62.64  -11.34
L9                       24.43   23.16   20.16   55.24    9.30   -2.21
L10                      27.26   23.14   20.89   55.22   21.16   -3.75
L11                      30.94   23.71   21.85   55.80   32.85   -4.66
L12                      31.75   22.24   22.14   54.28   42.34   -7.84
L13                      23.06   34.50   47.10   65.36  -40.31  -25.64
L14                      19.32    9.66   15.89   37.22   63.20  -23.74
L15                      54.03   53.64    4.14   78.25    5.95   88.76
L16                       0.17    0.19    0.18    1.71   -0.35   -0.42
L17                      11.53    5.25    0.23   27.44   59.12   43.05
L18                      13.89   23.00    3.47   55.07  -44.25   52.97
L19                       2.84    1.76   13.93   14.18   24.32  -58.50
L20                       0.47    0.30    0.14    2.69    7.34    1.98
L21                       0.33    0.60    0.31    5.39   -9.80    3.50
L22                       0.20    0.19    0.64    1.69    0.82   -9.23
Dmin                     65.18   68.62   53.06   86.32   -2.21    3.76
GS1                      60.20   63.07   49.82   83.48   -1.44    2.46
GS2                      51.97   54.10   45.12   78.52   -0.49   -0.60
GS3                      44.99   46.68   38.83   73.99   -0.05   -0.43
GS4                      39.11   40.59   34.25   69.88   -0.08   -1.13
GS5                      33.13   34.61   29.37   65.44   -0.84   -1.33
GS6                      28.63   29.87   25.24   61.54   -0.67   -1.08
GS7                      24.07   25.16   21.12   57.24   -0.84   -0.73
GS8                      20.74   21.67   18.23   53.67   -0.73   -0.79
GS9                      17.44   18.19   15.25   49.73   -0.53   -0.59
GS10                     14.69   15.34   12.84   46.09   -0.61   -0.53
GS11                     11.96   12.51   10.59   42.02   -0.72   -0.87
GS12                      9.81   10.29    8.89   38.35   -0.88   -1.47
GS13                      7.84    8.19    7.11   34.37   -0.53   -1.51
GS14                      6.12    6.41    5.57   30.43   -0.69   -1.40
GS15                      4.49    4.66    4.12   25.76   -0.04   -1.68
GS16                      3.38    3.56    3.24   22.17   -0.92   -2.19
GS17                      2.37    2.52    2.29   18.00   -1.11   -1.98
GS18                      1.59    1.69    1.50   13.78   -1.10   -1.27
GS19                      1.02    1.08    0.94    9.63   -0.80   -0.89
GS20                      0.50    0.54    0.49    4.85   -0.73   -0.86
GS21                      0.25    0.27    0.27    2.41   -0.35   -1.00
GS22                      0.11    0.12    0.13    1.09   -0.14   -0.49
Dmax                      0.09    0.09    0.07    0.79    0.13    0.06
END_DATA
