IT8.7/1
ORIGINATOR           "Monaco Systems, Inc."
DESCRIPTOR           "IT8.7/1 Reference Data File, 4x5 Fujichrome"
CREATED              "2003:02:24"
MANUFACTURER         "Monaco Systems, Inc."
PROD_DATE            "2002:12"
SERIAL               "Batch Average Data"
MATERIAL             "Fujichrome"
INSTRUMENTATION      "Barbieri Spectro 100xy"
#
NUMBER_OF_FIELDS     7
#
BEGIN_DATA_FORMAT
SAMPLE_ID            XYZ_X   XYZ_Y   XYZ_Z   LAB_L   LAB_A   LAB_B
C9                      37.99   38.53   24.50   68.41    2.73   12.10
C10                     38.53   37.89   20.01   67.94    6.48   19.99
C11                     40.21   38.57   16.76   68.44    9.58   28.02
C12                     39.89   31.43    1.57   62.87   32.61   82.54
C13                     53.98   62.94   58.73   83.41  -16.39   -7.19
C14                     56.57   51.20   50.27   76.80   18.58   -9.56
C15                     65.38   69.70   35.73   86.85   -4.05   26.00
C16                     39.86   41.77   33.15   70.71   -1.29    1.91
C17                     51.97   47.30   31.07   74.38   17.34   11.39
C18                     49.92   59.42   37.34   81.52  -18.86   14.58
C19                     44.05   45.55   51.44   73.25    0.40  -16.99
C20                      6.78   10.45   14.22   38.64  -29.16  -17.11
C21                      6.40    3.73    5.25   22.77   35.38  -13.03
C22                     15.78   15.99    1.71   46.96    2.10   53.56
D1                       3.69    3.99    1.93   23.63   -2.31   11.14
D2                       3.70    4.07    1.20   23.89   -3.27   19.89
D3                       3.83    4.21    0.72   24.34   -3.25   28.44
D4                       4.40    4.76    0.52   26.05   -2.59   35.13
D5                      16.60   17.68    7.94   49.11   -2.51   20.61
D6                      16.45   17.54    4.27   48.93   -2.56   37.40
D7                      16.42   17.58    2.04   48.98   -2.93   53.72
D8                      19.04   20.36    1.33   52.24   -2.99   67.07
D9                      44.11   46.49   21.16   73.86   -2.06   27.86
D10                     43.83   46.44   12.33   73.83   -2.75   48.75
D11                     44.39   47.24    6.16   74.34   -3.32   71.54
D12                     50.18   52.12    2.92   77.35   -0.20   95.30
D13                     49.96   59.86   58.29   81.76  -19.79   -9.59
D14                     51.44   43.75   46.65   72.06   25.96  -13.56
D15                     64.02   68.19   29.00   86.10   -3.89   34.88
D16                     30.63   32.04   25.08   63.38   -0.99    2.37
D17                     45.39   38.67   22.60   68.51   24.68   15.81
D18                     44.55   55.14   30.75   79.12  -23.47   20.06
D19                     35.91   36.58   48.15   66.96    2.16  -24.11
D20                      4.01    6.26    8.04   30.06  -25.34  -12.61
D21                      3.90    2.46    3.28   17.74   26.14  -10.10
D22                      9.03    9.40    1.30   36.75   -0.31   40.84
E1                       4.84    5.69    2.77   28.62   -7.90   12.39
E2                       4.62    5.91    2.11   29.19  -13.22   18.96
E3                       4.29    5.96    1.10   29.32  -18.15   30.77
E4                       4.65    7.08    0.83   31.99  -24.80   39.48
E5                      23.54   27.06   13.30   59.03  -10.91   20.50
E6                      21.41   27.01    8.05   58.98  -20.42   37.20
E7                      19.27   27.11    4.43   59.08  -31.30   54.00
E8                      17.97   26.13    2.21   58.16  -34.06   68.01
E9                      42.75   47.33   29.18   74.40   -8.38   14.41
E10                     40.67   46.70   21.87   74.00  -12.94   26.69
E11                     38.54   47.05   17.18   74.22  -20.55   36.99
E12                     31.38   40.52    4.49   69.84  -26.07   72.20
E13                     46.34   57.02   57.96   80.19  -22.97  -11.96
E14                     46.93   37.61   43.16   67.73   32.40  -16.80
E15                     62.74   66.70   23.15   85.35   -3.59   43.80
E16                     22.73   23.95   18.21   56.04   -1.66    3.33
E17                     40.05   31.98   16.34   63.33   31.13   20.20
E18                     39.77   51.17   24.94   76.78  -27.73   25.74
E19                     28.82   29.02   44.70   60.80    3.27  -30.64
E20                      2.03    3.09    3.67   20.39  -18.89   -8.15
E21                      2.10    1.50    1.84   12.60   16.41   -7.02
E22                      4.31    4.59    0.90   25.52   -1.50   27.15
F1                       3.25    4.10    2.66   24.01  -10.97    5.31
F2                       2.83    4.45    2.32   25.12  -22.92   10.09
F3                       2.48    4.61    2.05   25.58  -31.69   13.34
F4                       2.40    4.94    1.96   26.56  -37.42   15.89
F5                      10.96   14.19    8.66   44.51  -18.61    9.98
F6                       8.84   14.19    7.35   44.51  -35.39   15.01
F7                       7.74   14.63    6.42   45.13  -47.81   19.99
F8                       8.02   15.24    6.12   45.96  -48.80   22.79
F9                      29.02   33.60   22.57   64.64  -12.52    9.20
F10                     25.27   33.27   20.88   64.38  -26.51   12.08
F11                     22.37   32.97   18.87   64.14  -38.20   15.85
F12                     18.24   30.27   13.59   61.89  -48.72   24.64
F13                     42.73   54.12   57.49   78.53  -26.26  -14.34
F14                     43.11   32.59   39.95   63.83   38.23  -19.42
F15                     62.02   65.67   18.74   84.83   -3.00   51.82
F16                     16.46   17.61   13.39   49.02   -2.90    3.00
F17                     35.77   26.83   11.89   58.82   36.78   24.13
F18                     35.45   47.46   20.60   74.48  -31.82   30.05
F19                     22.67   22.53   41.23   54.59    4.33  -37.01
F20                      0.98    1.40    1.42   11.95  -12.25   -3.49
F21                      1.06    0.89    0.90    8.03    7.58   -2.86
F22                      1.73    1.89    0.59   14.91   -2.33   14.51
G1                       2.32    2.91    2.18   19.70   -9.48    1.99
G2                       2.00    2.93    2.36   19.78  -16.88    0.49
G3                       1.75    3.02    2.63   20.11  -24.14   -1.12
G4                       1.62    3.17    2.81   20.70  -30.20   -1.56
G5                      11.28   14.24   10.83   44.58  -16.55    2.80
G6                       9.11   13.96   11.78   44.17  -31.65   -0.81
G7                       8.47   14.93   13.16   45.54  -42.97   -2.38
G8                       8.57   15.36   13.80   46.13  -44.65   -3.07
G9                      28.81   33.50   26.15   64.56  -12.98    2.52
G10                     25.34   33.10   27.26   64.24  -25.59    0.07
G11                     23.14   33.63   28.87   64.67  -36.98   -1.86
G12                     18.69   30.45   26.19   62.04  -47.03   -1.89
G13                     39.53   51.42   56.83   76.93  -29.13  -16.42
G14                     38.88   27.54   36.13   59.47   44.10  -21.76
G15                     61.31   64.76   15.39   84.36   -2.62   58.76
G16                     11.56   12.45    9.44   41.92   -3.13    2.76
G17                     31.80   22.31    8.43   54.35   42.22   27.79
G18                     31.48   43.84   16.74   72.12  -35.52   34.40
G19                     17.49   16.85   37.16   48.07    6.85  -42.85
G20                     12.97    6.47    0.36   30.56   55.50   45.80
G21                     10.37   17.34    2.49   48.68  -41.03   49.23
G22                      2.47    1.62   11.20   13.35   20.96  -52.18
H1                       2.42    2.93    2.70   19.77   -7.88   -2.32
H2                       2.17    2.95    3.44   19.86  -13.47   -7.51
H3                       2.01    3.03    4.45   20.15  -18.26  -13.24
H4                       1.95    3.20    5.57   20.83  -22.47  -17.96
H5                       9.06   10.86   10.70   39.35  -11.24   -5.81
H6                       8.19   10.87   13.88   39.36  -18.86  -14.97
H7                       7.80   11.70   18.85   40.74  -28.33  -24.45
H8                       7.95   12.17   21.73   41.49  -30.15  -29.09
H9                      30.66   33.53   27.85   64.59   -6.08   -0.31
H10                     29.53   33.91   32.31   64.89  -11.64   -6.87
H11                     28.49   33.98   37.14   64.95  -15.89  -13.72
H12                     21.04   30.29   50.38   61.90  -34.75  -35.38
H13                     35.95   48.10   55.88   74.89  -31.88  -18.94
H14                     35.30   23.52   32.44   55.60   49.07  -23.08
H15                     60.73   63.57   12.35   83.74   -1.31   65.76
H16                      7.71    8.43    6.10   34.87   -3.85    3.77
H17                     28.36   18.64    5.53   50.26   46.91   32.99
H18                     27.36   39.66   13.04   69.23  -38.81   38.81
H19                     13.38   12.45   33.11   41.92    9.20  -47.67
H20                      9.52    4.93    0.36   26.54   47.70   38.92
H21                      7.32   12.49    2.04   41.98  -38.24   41.67
H22                      1.85    1.29    8.07   11.21   16.59  -45.26
I1                       4.08    4.37    5.40   24.85   -1.82  -10.15
I2                       4.16    4.42    8.51   25.00   -1.35  -23.10
I3                       4.21    4.49   13.12   25.23   -1.61  -37.28
I4                       4.33    4.61   15.68   25.58   -1.46  -43.30
I5                      13.52   14.17   13.82   44.47   -0.86   -6.00
I6                      13.53   14.24   18.04   44.58   -1.31  -16.05
I7                      13.47   13.98   23.45   44.21   -0.11  -27.70
I8                      10.22   11.17   35.17   39.87   -4.23  -54.20
I9                      32.23   33.57   28.86   64.62   -0.50   -1.93
I10                     32.92   34.12   33.85   65.06    0.06   -8.86
I11                     33.00   34.17   38.09   65.10    0.19  -14.76
I12                     26.21   28.41   47.08   60.26   -4.82  -34.42
I13                     32.87   45.04   54.85   72.92  -33.98  -21.25
I14                     31.75   19.98   28.58   51.81   53.00  -23.56
I15                     59.71   61.86    9.63   82.84    0.15   72.68
I16                      4.64    5.14    3.67   27.12   -3.93    3.49
I17                     25.00   15.34    3.48   46.09   51.21   37.44
I18                     23.57   35.44    9.77   66.09  -41.19   43.31
I19                      9.92    8.81   28.74   35.62   11.81  -51.73
I20                      6.12    3.37    0.35   21.47   37.95   30.44
I21                      4.92    8.45    1.61   34.91  -34.04   33.93
I22                      1.36    1.04    5.51    9.32   11.60  -37.47
J1                       1.17    1.04    1.85    9.28    5.87  -12.81
J2                       1.42    1.01    3.62    9.09   14.33  -27.28
J3                       1.85    1.11    6.90    9.84   22.56  -42.90
J4                       2.26    1.24   10.50   10.87   27.23  -54.27
J5                       8.19    8.09    8.31   34.17    3.50   -6.56
J6                       9.02    8.09   12.33   34.16   10.75  -19.66
J7                       9.83    8.28   16.80   34.55   15.68  -30.51
J8                       8.65    6.33   24.89   30.22   24.61  -54.46
J9                      27.28   27.77   23.65   59.68    2.02   -1.39
J10                     28.54   27.96   27.46   59.85    6.28   -7.84
J11                     29.03   27.75   31.41   59.66    8.99  -14.52
J12                     26.64   23.14   41.06   55.22   18.66  -35.71
J13                     30.29   42.26   53.77   71.05  -35.30  -23.33
J14                     28.23   16.70   24.58   47.88   56.67  -23.44
J15                     58.72   60.08    7.36   81.88    1.93   79.40
J16                      2.54    2.82    2.04   19.29   -3.26    2.56
J17                     21.65   12.31    2.00   41.70   55.18   41.57
J18                     20.45   31.57    7.12   62.99  -42.31   47.81
J19                      7.20    5.90   24.43   29.17   15.83  -55.44
J20                      3.75    2.24    0.34   16.70   28.44   22.42
J21                      3.07    5.25    1.23   27.43  -28.71   25.70
J22                      0.95    0.82    3.39    7.42    6.27  -28.63
K1                       2.02    1.70    1.84   13.80    9.46   -4.87
K2                       2.54    1.74    2.72   14.04   19.26  -12.37
K3                       3.30    1.84    3.86   14.61   30.38  -19.27
K4                       3.89    2.05    4.89   15.77   34.50  -23.19
K5                       6.75    5.81    5.96   28.94   12.34   -5.80
K6                       8.49    5.96    8.43   29.30   27.21  -15.39
K7                      10.34    6.00   11.57   29.42   41.78  -25.59
K8                      14.18    7.43   16.87   32.77   53.68  -33.75
K9                      23.98   22.88   19.86   54.95    8.61   -2.09
K10                     26.09   22.77   22.81   54.83   18.08   -8.17
K11                     28.19   22.46   27.17   54.51   27.95  -16.56
K12                     30.07   19.06   30.75   50.76   51.33  -28.83
K13                     27.78   39.37   52.36   69.02  -36.23  -25.29
K14                     24.97   13.87   20.79   44.05   59.87  -22.79
K15                     57.59   57.77    5.21   80.61    4.65   86.93
K16                      1.22    1.38    0.93   11.81   -3.36    3.09
K17                     18.65    9.87    0.96   37.60   58.11   47.08
K18                     17.45   27.50    4.76   59.43  -42.30   52.79
K19                      5.11    3.78   20.21   22.93   19.95  -58.02
K20                      2.03    1.37    0.32   11.77   18.29   14.16
K21                      1.66    2.68    0.86   18.73  -20.54   16.27
K22                      0.66    0.65    1.90    5.90    1.25  -19.17
L1                       2.01    1.73    1.43   14.03    8.15    0.01
L2                       2.63    1.74    1.55   14.04   20.95   -1.34
L3                       3.05    1.73    1.68   13.98   28.93   -2.93
L4                       3.65    1.92    1.90   15.05   34.05   -3.38
L5                       7.08    5.94    4.66   29.25   14.36    1.26
L6                       8.96    5.96    5.16   29.30   31.24   -1.30
L7                      11.32    6.18    6.09   29.85   47.21   -4.83
L8                      15.84    7.57    7.86   33.07   62.31   -6.73
L9                      23.54   22.43   17.16   54.48    8.72    3.02
L10                     26.98   23.20   18.63   55.28   19.80    1.09
L11                     28.72   22.32   18.34   54.37   30.60    0.16
L12                     29.18   17.90   19.83   49.37   53.91  -11.64
L13                     25.21   36.26   50.74   66.72  -36.85  -27.47
L14                     21.61   11.27   16.70   40.03   62.22  -20.84
L15                     56.08   55.07    3.62   79.08    7.55   93.41
L16                      0.37    0.43    0.28    3.88   -1.85    1.36
L17                     15.17    7.42    0.36   32.75   59.79   49.70
L18                     14.50   23.25    3.03   55.33  -41.56   56.47
L19                      3.40    2.21   15.42   16.53   23.74  -58.26
L20                      1.00    0.82    0.31    7.37    8.48    6.90
L21                      0.87    1.28    0.57   11.10  -12.59    8.40
L22                      0.46    0.51    0.89    4.60   -1.39   -8.64
Dmin                    69.17   73.15   58.37   88.52   -2.92    1.99
GS1                     53.75   56.12   44.66   79.68   -0.90    1.96
GS2                     47.57   49.77   38.91   75.93   -1.16    2.81
GS3                     41.59   43.69   33.54   72.02   -1.60    3.59
GS4                     36.32   37.94   28.73   67.98   -0.87    4.08
GS5                     31.22   32.62   24.50   63.85   -0.85    4.23
GS6                     26.75   28.00   20.50   59.89   -0.99    5.10
GS7                     22.82   23.89   17.48   55.98   -1.00    4.86
GS8                     19.84   20.84   15.30   52.77   -1.24    4.51
GS9                     16.66   17.63   12.74   49.05   -1.91    4.85
GS10                    13.64   14.43   10.62   44.85   -1.76    3.91
GS11                    11.08   11.75    8.75   40.81   -1.78    3.27
GS12                     9.04    9.66    7.06   37.22   -2.25    3.63
GS13                     7.17    7.70    5.66   33.34   -2.44    3.17
GS14                     5.46    5.88    4.23   29.11   -2.43    3.47
GS15                     4.16    4.50    3.34   25.25   -2.49    2.46
GS16                     3.13    3.37    2.52   21.46   -1.97    2.06
GS17                     2.26    2.44    1.82   17.65   -2.04    1.96
GS18                     1.52    1.66    1.23   13.62   -2.24    1.78
GS19                     0.97    1.07    0.76    9.55   -2.09    2.12
GS20                     0.47    0.53    0.38    4.78   -1.69    1.09
GS21                     0.26    0.29    0.22    2.60   -0.87    0.41
GS22                     0.14    0.15    0.12    1.38   -0.27    0.05
Dmax                     0.10    0.11    0.09    0.95   -0.09   -0.08
END_DATA
