IT8.7/1
ORIGINATOR          "Monaco Acquisition Company"
DESCRIPTOR          "IT8.7/1 Reference Data File, 4x5 Ektachrome"
CREATED             "Tuesday, June 21, 2005"
MANUFACTURER        "Monaco Acquisition Company"
PROD_DATE           "2005:26"
SERIAL              "Batch Average Data"
MATERIAL            "Kodak Ektachrome Product Family"
NUMBER_OF_FIELDS          11
BEGIN_DATA_FORMAT
SAMPLE_ID           XYZ_X   XYZ_Y   XYZ_Z   LAB_L   LAB_A   LAB_B   STDEV_X STDEV_Y STDEV_Z STDEV_DE
END_DATA_FORMAT
NUMBER_OF_SETS 288
#
BEGIN_DATA
#ID                      X       Y       Z       L       A       B     SD_X    SD_Y    SD_Z   SD_dE
C17                    47.30   42.95   28.97   71.51   17.11    9.85    1.43    1.41    1.84    0.88
C18                    47.28   54.34   35.48   78.65  -13.75   12.30    1.72    1.86    2.14    0.86
C19                    37.25   36.78   41.25   67.10    5.90  -15.41    1.61    1.58    1.95    0.59
C20                     7.52   10.36   14.14   38.47  -21.21  -17.13    0.37    0.46    0.87    0.62
C21                     6.04    3.45    5.12   21.76   35.77  -14.07    0.25    0.14    0.29    0.56
C22                    14.51   14.39    1.67   44.78    3.94   50.28    0.54    0.54    0.06    0.51
D01                     4.39    4.55    2.99   25.42    0.02    5.28    0.19    0.16    0.13    0.39
D02                     4.39    4.63    2.10   25.63   -0.91   12.96    0.18    0.17    0.09    0.34
D03                     4.43    4.73    1.45   25.95   -1.77   20.35    0.18    0.18    0.06    0.35
D04                     4.44    4.79    0.98   26.12   -2.46   26.96    0.19    0.19    0.04    0.41
D05                    17.99   18.98   10.22   50.65   -1.61   15.26    0.80    0.79    0.65    0.48
D06                    17.56   18.67    5.47   50.29   -2.37   33.37    0.73    0.74    0.33    0.36
D07                    17.79   19.07    2.65   50.76   -3.15   51.58    0.66    0.69    0.12    0.45
D08                    18.98   20.19    1.73   52.05   -2.47   62.15    0.69    0.72    0.07    0.59
D09                    45.23   47.04   24.75   74.20   -0.34   21.72    1.98    2.08    1.94    0.94
D10                    45.60   47.77   14.79   74.67   -1.30   43.62    1.59    1.72    0.92    0.61
D11                    44.91   48.14    7.39   74.90   -4.30   67.26    1.46    1.62    0.39    0.49
D12                    44.32   47.87    5.21   74.73   -5.26   76.82    1.35    1.51    0.24    0.48
D13                    47.31   54.46   51.11   78.72  -13.95   -7.15    1.54    1.74    1.77    0.46
D14                    46.33   39.67   38.36   69.22   24.24   -7.95    1.38    1.27    1.76    0.55
D15                    58.04   59.82   28.44   81.73    0.89   28.34    1.62    1.77    1.80    0.86
D16                    30.35   31.37   26.23   62.81    0.37   -0.55    1.29    1.27    1.69    0.86
D17                    42.30   36.93   22.65   67.21   21.21   13.56    1.16    1.12    1.45    0.83
D18                    42.16   49.33   29.62   75.64  -15.55   15.93    1.61    1.82    1.84    0.77
D19                    31.07   30.06   37.05   61.69    7.86  -19.14    1.35    1.28    1.82    0.59
D20                     4.65    6.25    8.36   30.03  -16.43  -13.82    0.23    0.29    0.51    0.43
D21                     3.68    2.25    3.31   16.75   27.07  -11.95    0.16    0.10    0.18    0.46
D22                     8.19    8.23    1.26   34.45    2.28   37.35    0.33    0.33    0.05    0.39
E01                     5.98    6.84    4.06   31.44   -6.62    8.56    0.26    0.26    0.18    0.34
E02                     5.30    6.70    2.53   31.10  -12.99   18.66    0.21    0.24    0.10    0.30
E03                     5.04    6.95    1.57   31.70  -18.67   28.86    0.21    0.26    0.06    0.35
E04                     5.05    7.02    1.41   31.85  -19.27   30.98    0.21    0.27    0.05    0.36
E05                    24.87   28.36   15.88   60.19  -10.24   15.95    1.15    1.28    1.06    0.69
E06                    23.01   28.64   10.19   60.45  -19.44   32.24    0.96    1.20    0.62    0.54
E07                    20.49   28.09    5.34   59.96  -29.06   50.71    0.83    1.14    0.29    0.53
E08                    19.44   28.53    4.20   60.36  -35.97   57.53    0.71    1.01    0.20    0.50
E09                    43.36   46.98   31.88   74.16   -5.65    9.87    2.02    2.14    2.40    0.96
E10                    42.14   48.40   25.98   75.06  -13.13   21.03    1.66    1.85    1.86    0.86
E11                    39.83   48.14   20.31   74.90  -19.48   31.45    1.37    1.60    1.35    0.76
E12                    37.52   48.32   14.61   75.02  -27.33   44.68    1.02    1.21    0.89    0.66
E13                    44.32   52.62   51.29   77.64  -17.78   -9.21    1.38    1.58    1.75    0.44
E14                    42.56   35.00   35.01   65.74   28.32   -9.30    1.23    1.07    1.68    0.66
E15                    57.19   58.87   23.96   81.21    1.05   35.23    1.55    1.75    1.50    0.81
E16                    21.90   22.75   18.87   54.81   -0.17   -0.17    0.87    0.85    1.15    0.73
E17                    37.41   31.11   17.16   62.60   25.88   17.08    0.93    0.89    1.04    0.72
E18                    37.99   46.02   24.92   73.54  -19.46   20.26    1.46    1.71    1.52    0.76
E19                    24.49   23.27   31.66   55.33    9.14  -22.30    1.08    0.97    1.74    0.64
E20                     2.46    3.13    3.97   20.54  -10.36   -9.73    0.12    0.16    0.25    0.36
E21                     2.00    1.35    1.83   11.58   18.43   -8.64    0.09    0.06    0.10    0.36
E22                     3.86    3.88    0.85   23.27    1.75   24.22    0.16    0.17    0.04    0.32
F01                     3.86    4.84    3.59   26.27  -11.12    2.56    0.15    0.17    0.14    0.27
F02                     3.33    5.02    3.11   26.78  -21.65    6.74    0.12    0.17    0.13    0.27
F03                     3.11    5.56    2.84   28.26  -31.70   11.25    0.12    0.19    0.12    0.27
F04                     3.04    5.78    2.64   28.83  -35.32   13.81    0.12    0.20    0.12    0.26
F05                    13.01   15.52   11.95   46.33  -12.30    2.49    0.60    0.63    0.80    0.62
F06                    11.02   15.08   10.27   45.74  -23.50    6.65    0.46    0.56    0.65    0.53
F07                     9.52   15.21    9.23   45.91  -35.76   10.41    0.41    0.60    0.57    0.55
F08                     8.66   15.83    8.02   46.74  -46.55   16.27    0.35    0.61    0.48    0.53
F09                    29.73   33.93   26.36   64.89  -10.92    2.83    1.39    1.51    1.98    0.99
F10                    26.58   34.10   23.71   65.03  -23.91    7.80    1.13    1.36    1.66    0.90
F11                    23.88   34.35   22.12   65.23  -36.16   11.16    0.93    1.22    1.47    0.88
F12                    22.23   34.87   20.58   65.64  -45.35   14.94    0.70    0.93    1.35    0.98
F13                    40.87   49.59   50.75   75.81  -20.19  -11.76    1.25    1.47    1.65    0.45
F14                    38.74   30.37   30.76   61.96   32.86   -9.46    1.10    0.92    1.66    0.80
F15                    55.78   56.99   19.77   80.17    2.08   41.65    1.42    1.66    1.22    0.86
F16                    16.21   16.88   14.18   48.10   -0.37   -0.63    0.64    0.62    0.84    0.63
F17                    32.72   25.67   12.82   57.72   30.99   19.63    0.78    0.72    0.75    0.59
F18                    33.94   42.20   20.51   71.00  -22.01   24.31    1.32    1.61    1.28    0.76
F19                    19.14   17.66   27.24   49.06   11.15  -25.98    0.87    0.76    1.57    0.66
F20                     1.20    1.46    1.60   12.32   -6.38   -4.90    0.07    0.09    0.10    0.35
F21                     0.97    0.72    0.88    6.52   11.02   -5.24    0.04    0.04    0.05    0.27
F22                     1.70    1.76    0.55   14.16    0.14   14.01    0.07    0.08    0.03    0.29
G01                     2.72    3.25    2.99   21.00   -7.31   -2.34    0.10    0.12    0.13    0.30
G02                     2.47    3.35    3.26   21.40  -13.91   -3.62    0.09    0.12    0.15    0.39
G03                     2.31    3.73    3.65   22.76  -22.85   -3.89    0.09    0.13    0.18    0.34
G04                     2.14    3.94    3.92   23.46  -29.64   -4.38    0.09    0.14    0.22    0.35
G05                    13.43   15.80   13.95   46.70  -11.11   -2.43    0.64    0.65    0.98    0.73
G06                    11.62   15.33   14.21   46.07  -20.62   -4.20    0.55    0.63    0.95    0.70
G07                    10.32   15.48   15.11   46.27  -31.06   -6.16    0.49    0.66    0.95    0.71
G08                     9.29   15.74   15.79   46.61  -40.73   -7.24    0.41    0.61    0.99    0.80
G09                    30.27   34.49   29.93   65.34  -10.86   -2.32    1.39    1.51    2.10    1.00
G10                    27.45   34.84   31.39   65.61  -22.90   -4.14    1.22    1.43    2.06    0.97
G11                    24.18   34.29   32.38   65.18  -34.69   -6.39    1.01    1.27    2.05    1.07
G12                    22.56   34.56   33.13   65.40  -42.77   -7.14    0.80    0.97    2.02    1.22
G13                    37.45   46.68   50.22   73.97  -23.06  -14.34    1.22    1.48    1.69    0.48
G14                    34.93   25.87   27.39   57.91   37.85  -10.99    0.93    0.74    1.46    0.78
G15                    54.54   55.36   15.75   79.24    2.97   49.10    1.26    1.52    0.89    0.73
G16                    11.46   11.96   10.04   41.15   -0.52   -0.52    0.46    0.46    0.59    0.55
G17                    28.57   21.04    9.18   52.99   35.95   22.80    0.69    0.59    0.55    0.54
G18                    30.22   38.86   16.93   68.64  -25.25   28.03    1.13    1.42    0.99    0.75
G19                    14.98   13.38   24.50   43.32   13.05  -31.10    0.69    0.59    1.40    0.64
G20                     8.57    4.06    0.24   23.85   51.37   36.62    0.25    0.12    0.03    0.47
G21                    11.12   17.60    2.93   48.99  -36.77   46.30    0.41    0.65    0.11    0.67
G22                     1.90    1.20    8.93   10.52   20.76  -49.54    0.10    0.08    0.46    0.56
H01                     2.85    3.27    3.60   21.10   -5.30   -6.41    0.10    0.11    0.16    0.31
H02                     2.62    3.29    4.54   21.17   -9.90  -11.98    0.10    0.12    0.21    0.35
H03                     2.50    3.43    6.05   21.69  -14.56  -18.67    0.10    0.12    0.29    0.40
H04                     2.52    3.82    7.47   23.07  -20.10  -22.40    0.12    0.15    0.43    0.54
H05                    10.62   12.35   13.78   41.76   -9.32  -10.47    0.51    0.51    0.93    0.70
H06                     9.19   11.88   17.08   41.01  -17.44  -19.95    0.46    0.48    1.15    0.80
H07                     8.49   12.33   21.42   41.73  -26.48  -27.99    0.40    0.48    1.27    0.82
H08                     7.87   11.70   21.83   40.73  -27.63  -30.53    0.37    0.45    1.30    0.92
H09                    31.69   34.08   31.93   65.01   -4.19   -5.99    1.43    1.44    2.08    0.94
H10                    29.96   33.80   34.88   64.79   -9.64  -10.75    1.31    1.40    2.02    0.82
H11                    28.55   33.68   38.45   64.69  -14.62  -15.89    1.19    1.35    1.92    0.73
H12                    26.75   34.21   45.92   65.12  -23.57  -24.62    1.03    1.32    1.61    0.49
H13                    34.57   44.61   50.07   72.62  -26.82  -16.50    1.08    1.34    1.56    0.39
H14                    30.81   21.28   23.88   53.25   43.32  -12.84    0.83    0.63    1.34    0.83
H15                    54.06   54.77   12.29   78.90    3.23   57.64    1.16    1.45    0.65    0.66
H16                     7.40    7.74    6.63   33.42   -0.53   -1.05    0.32    0.32    0.39    0.50
H17                    24.47   16.77    6.04   47.97   40.80   26.67    0.62    0.47    0.33    0.43
H18                    26.56   35.44   13.21   66.08  -28.51   32.95    1.03    1.35    0.72    0.73
H19                    11.26    9.55   21.51   37.01   15.86  -36.30    0.53    0.43    1.20    0.68
H20                     6.15    3.07    0.21   20.30   43.27   31.07    0.20    0.10    0.02    0.48
H21                     7.82   12.13    2.26   41.41  -31.08   38.70    0.29    0.43    0.08    0.51
H22                     1.61    1.05    6.49    9.41   18.18  -41.87    0.08    0.07    0.35    0.60
I01                     4.71    4.80    7.19   26.15    1.00  -15.99    0.18    0.16    0.31    0.41
I02                     4.70    4.72   10.72   25.92    1.98  -28.99    0.20    0.17    0.52    0.53
I03                     4.78    4.72   15.45   25.92    2.98  -42.12    0.21    0.17    0.76    0.72
I04                     5.03    5.05   19.71   26.87    1.97  -50.15    0.23    0.18    0.97    0.80
I05                    15.10   15.54   16.97   46.36    0.64  -10.48    0.68    0.60    1.12    0.85
I06                    15.05   15.35   21.57   46.10    1.50  -20.74    0.71    0.61    1.40    0.93
I07                    14.78   15.01   26.39   45.64    1.82  -30.44    0.68    0.59    1.41    0.85
I08                    14.63   14.79   32.64   45.33    2.28  -41.03    0.65    0.61    1.36    0.57
I09                    33.40   34.33   32.25   65.21    1.04   -6.15    1.49    1.46    1.97    0.90
I10                    32.90   33.87   35.16   64.84    0.85  -11.06    1.44    1.40    1.95    0.79
I11                    32.59   33.28   39.32   64.38    1.77  -17.59    1.31    1.29    1.78    0.57
I12                    32.40   33.09   41.71   64.22    1.76  -20.96    1.18    1.19    1.59    0.45
I13                    31.59   41.94   49.56   70.82  -29.60  -19.02    0.95    1.20    1.45    0.38
I14                    27.32   17.54   21.00   48.92   48.56  -14.75    0.72    0.50    1.18    0.87
I15                    54.00   54.63    9.56   78.82    3.41   66.00    1.06    1.34    0.44    0.61
I16                     4.22    4.35    3.81   24.78    0.37   -1.39    0.19    0.20    0.21    0.41
I17                    20.80   13.10    3.69   42.90   45.95   30.60    0.51    0.35    0.19    0.33
I18                    22.91   31.90    9.63   63.25  -31.95   38.94    0.87    1.20    0.49    0.71
I19                     7.91    6.29   18.23   30.12   18.39  -41.35    0.38    0.28    1.00    0.70
I20                     4.37    2.33    0.20   17.15   35.35   25.75    0.16    0.09    0.02    0.49
I21                     5.20    7.89    1.67   33.75  -25.61   31.31    0.20    0.29    0.06    0.34
I22                     1.25    0.83    4.25    7.47   16.20  -33.91    0.06    0.05    0.21    0.47
J01                     1.43    1.29    1.96   11.22    5.41  -10.54    0.06    0.06    0.10    0.36
J02                     1.58    1.25    3.19   10.90   11.12  -21.23    0.06    0.05    0.15    0.42
J03                     1.82    1.29    4.78   11.22   15.85  -30.43    0.08    0.05    0.23    0.60
J04                     2.02    1.29    6.50   11.22   20.48  -38.76    0.09    0.05    0.34    0.76
J05                     9.61    9.23   10.99   36.42    5.86  -11.70    0.44    0.37    0.70    0.69
J06                    10.28    9.00   15.17   35.97   13.00  -24.06    0.46    0.34    0.91    0.82
J07                    10.78    8.58   19.38   35.16   20.29  -35.13    0.48    0.31    1.06    0.86
J08                    11.40    8.58   23.91   35.15   24.88  -44.12    0.49    0.31    1.11    0.79
J09                    27.85   28.08   26.71   59.95    3.09   -6.31    1.24    1.13    1.78    0.98
J10                    28.91   28.21   30.25   60.06    6.71  -11.94    1.22    1.09    1.79    0.87
J11                    29.21   27.60   33.12   59.51   10.26  -17.28    1.20    1.04    1.75    0.81
J12                    29.70   27.05   37.99   59.01   14.33  -25.07    1.13    0.98    1.56    0.54
J13                    28.72   39.54   49.19   69.13  -33.06  -21.52    0.89    1.14    1.43    0.37
J14                    24.18   14.33   18.28   44.70   53.66  -16.32    0.60    0.38    1.07    0.92
J15                    53.75   54.10    7.33   78.52    4.10   73.76    1.02    1.30    0.33    0.60
J16                     2.25    2.37    2.06   17.32   -0.83   -0.94    0.12    0.13    0.12    0.35
J17                    17.42   10.02    2.03   37.88   50.42   34.75    0.46    0.27    0.10    0.39
J18                    19.75   28.86    7.32   60.65  -35.66   42.99    0.74    1.06    0.35    0.69
J19                     5.49    4.07   15.84   23.89   20.33  -46.55    0.27    0.18    0.88    0.72
J20                     2.86    1.66    0.19   13.56   27.35   19.70    0.12    0.07    0.02    0.47
J21                     3.35    4.89    1.26   26.41  -19.59   23.47    0.14    0.20    0.05    0.34
J22                     0.94    0.63    2.63    5.66   13.33  -26.01    0.04    0.04    0.14    0.47
K01                     2.50    2.13    2.67   16.13    9.38   -8.30    0.09    0.07    0.12    0.36
K02                     3.20    2.15    4.02   16.27   21.62  -17.38    0.15    0.08    0.21    0.55
K03                     3.83    2.07    5.03   15.84   33.31  -23.79    0.18    0.09    0.25    0.55
K04                     4.12    2.11    5.44   16.07   36.55  -25.46    0.20    0.09    0.29    0.63
K05                     7.97    6.67    8.30   31.03   15.05  -11.90    0.35    0.25    0.49    0.65
K06                     9.57    6.60   11.15   30.88   29.43  -21.75    0.40    0.23    0.68    0.83
K07                    11.16    6.49   13.79   30.62   42.68  -29.76    0.44    0.22    0.74    0.82
K08                    11.69    6.30   14.69   30.14   48.54  -32.91    0.46    0.21    0.77    0.84
K09                    24.28   23.01   22.56   55.07    9.33   -7.20    1.07    0.91    1.56    0.96
K10                    26.66   23.10   25.79   55.17   18.93  -12.96    1.12    0.87    1.60    0.92
K11                    28.43   22.46   28.46   54.51   28.82  -18.64    1.11    0.80    1.53    0.87
K12                    31.67   23.27   32.74   55.34   37.46  -23.93    1.16    0.83    1.45    0.66
K13                    26.15   37.13   48.53   67.36  -35.71  -23.82    0.77    1.01    1.32    0.34
K14                    21.08   11.48   15.94   40.38   58.16  -18.36    0.52    0.30    0.91    0.83
K15                    52.70   52.23    5.16   77.41    6.15   81.70    0.96    1.23    0.20    0.61
K16                     1.11    1.16    0.92   10.25   -0.17    0.61    0.08    0.09    0.05    0.38
K17                    14.47    7.55    1.01   33.02   54.39   38.40    0.37    0.19    0.04    0.42
K18                    16.43   25.79    5.15   57.82  -41.04   47.97    0.62    0.94    0.22    0.69
K19                     3.66    2.50   13.67   17.89   21.96  -51.37    0.20    0.13    0.80    0.75
K20                     2.48    1.39    0.16   11.87   27.51   17.41    0.10    0.06    0.01    0.47
K21                     1.90    2.54    0.83   18.11  -12.03   15.61    0.08    0.11    0.04    0.30
K22                     0.69    0.48    1.50    4.32    9.06  -17.53    0.03    0.02    0.08    0.43
L01                     2.45    2.13    2.04   16.13    8.44   -2.81    0.09    0.07    0.08    0.32
L02                     3.08    2.11    2.23   16.03   20.59   -4.81    0.13    0.08    0.11    0.42
L03                     3.74    2.10    2.58   15.98   31.42   -7.90    0.17    0.08    0.13    0.48
L04                     4.16    2.11    2.60   16.05   37.15   -7.86    0.19    0.09    0.15    0.51
L05                     8.13    6.62    6.53   30.92   16.96   -4.94    0.37    0.26    0.40    0.59
L06                     9.85    6.44    6.96   30.50   33.28   -7.51    0.39    0.22    0.39    0.65
L07                    12.04    6.53    7.49   30.69   48.59   -9.35    0.47    0.23    0.42    0.70
L08                    13.31    6.39    7.25   30.38   58.47   -8.92    0.42    0.19    0.40    0.66
L09                    23.85   22.68   19.87   54.73    8.97   -2.42    0.99    0.85    1.29    0.84
L10                    26.84   22.98   20.87   55.04   20.17   -3.93    1.10    0.85    1.30    0.85
L11                    29.63   23.07   21.46   55.14   30.75   -4.96    1.13    0.83    1.33    0.87
L12                    31.89   23.04   22.03   55.11   39.24   -6.12    0.86    0.65    1.39    0.96
L13                    25.03   36.20   48.48   66.67  -37.38  -24.96    0.72    0.94    1.30    0.36
L14                    18.81    9.57   14.52   37.05   61.33  -20.57    0.48    0.26    0.80    0.74
L15                    52.53   51.49    3.67   76.97    7.61   89.45    0.95    1.21    0.12    0.68
L16                     0.16    0.17    0.13    1.52   -0.17    0.21    0.05    0.05    0.02    0.21
L17                    11.63    5.37    0.25   27.75   58.45   43.20    0.22    0.12    0.02    0.29
L18                    15.30   24.47    3.74   56.55  -42.03   53.82    0.58    0.89    0.15    0.72
L19                     2.18    1.32   11.06   11.41   23.15  -55.04    0.13    0.09    0.67    0.67
L20                     0.89    0.61    0.17    5.52   12.09    6.33    0.04    0.03    0.02    0.39
L21                     1.06    1.32    0.52   11.43   -7.18    9.83    0.04    0.05    0.02    0.33
L22                     0.41    0.34    0.87    3.06    3.30  -10.95    0.02    0.02    0.04    0.25
Dmin                   65.88   69.18   52.56   86.58   -1.81    4.82    2.15    2.17    1.95    0.60
GS01                   58.02   60.21   48.70   81.94   -0.07    1.13    2.17    2.28    1.94    0.63
GS02                   50.61   52.27   43.26   77.42    0.57   -0.14    2.05    2.15    1.93    0.63
GS03                   43.51   45.07   36.37   72.92    0.16    1.16    1.84    1.90    1.87    0.68
GS04                   38.03   39.38   32.52   69.01    0.18    0.00    1.69    1.71    1.88    0.80
GS05                   33.20   34.25   28.32   65.14    0.63   -0.06    1.45    1.42    1.68    0.81
GS06                   28.16   29.25   24.63   60.99   -0.18   -0.85    1.19    1.16    1.50    0.77
GS07                   24.04   25.00   20.40   57.06   -0.26    0.49    0.95    0.91    1.18    0.75
GS08                   20.13   20.95   17.37   52.89   -0.36   -0.15    0.79    0.74    1.06    0.76
GS09                   17.28   18.08   15.13   49.58   -0.81   -0.51    0.67    0.63    0.91    0.70
GS10                   14.72   15.38   13.21   46.15   -0.70   -1.40    0.56    0.54    0.77    0.65
GS11                   12.42   13.01   11.10   42.77   -0.88   -1.09    0.48    0.46    0.65    0.60
GS12                   10.00   10.45    8.92   38.63   -0.60   -1.04    0.40    0.39    0.52    0.53
GS13                    8.02    8.38    7.25   34.75   -0.55   -1.37    0.35    0.34    0.43    0.51
GS14                    6.36    6.70    5.81   31.12   -1.09   -1.33    0.27    0.27    0.33    0.50
GS15                    4.71    4.88    4.29   26.38    0.06   -1.54    0.21    0.20    0.24    0.47
GS16                    3.42    3.61    3.30   22.34   -0.97   -2.25    0.15    0.15    0.19    0.37
GS17                    2.49    2.66    2.43   18.60   -1.30   -2.05    0.11    0.11    0.14    0.40
GS18                    1.84    1.96    1.72   15.25   -1.10   -1.12    0.08    0.08    0.09    0.32
GS19                    1.27    1.33    1.13   11.51   -0.61   -0.41    0.05    0.06    0.06    0.25
GS20                    0.73    0.75    0.65    6.75    0.42   -0.68    0.03    0.03    0.03    0.21
GS21                    0.43    0.42    0.40    3.79    0.87   -1.00    0.02    0.02    0.02    0.14
GS22                    0.17    0.19    0.20    1.74   -0.46   -0.86    0.01    0.01    0.01    0.08
Dmax                    0.10    0.11    0.08    0.98   -0.23    0.14    0.01    0.01    0.01    0.07
END_DATA
