IT8.7/1
ORIGINATOR          "Monaco Acquisition Company"
DESCRIPTOR          "IT8.7/1 Reference Data File, 4x5 Ektachrome"
CREATED             "Thursday, August 25, 2005"
MANUFACTURER        "X-Rite, Inc."
PROD_DATE           "2005:08"
SERIAL              "Batch Average Data"
MATERIAL            "Kodak Ektachrome Product Family"
NUMBER_OF_FIELDS          11
BEGIN_DATA_FORMAT
SAMPLE_ID           XYZ_X   XYZ_Y   XYZ_Z   LAB_L   LAB_A   LAB_B   STDEV_X STDEV_Y STDEV_Z STDEV_DE
END_DATA_FORMAT
NUMBER_OF_SETS 288
#
BEGIN_DATA
#ID                      X       Y       Z       L       A       B     SD_X    SD_Y    SD_Z   SD_dE
A22                    43.32   39.49    2.71   69.09   16.14   82.71    1.37    1.59    0.13    0.81
B01                     2.75    2.51    1.40   17.96    6.45    7.16    0.09    0.08    0.06    0.16
B02                     3.26    2.51    0.90   17.96   15.32   14.23    0.12    0.09    0.03    0.22
B03                     3.83    2.53    0.54   18.03   23.81   20.91    0.13    0.09    0.02    0.31
B04                     4.42    2.58    0.27   18.26   31.20   26.39    0.16    0.09    0.01    0.45
B05                    10.66    9.58    5.58   37.06   11.22   10.01    0.41    0.38    0.29    0.40
B06                    12.48    9.65    3.72   37.20   23.60   20.58    0.46    0.37    0.19    0.32
B07                    14.96    9.98    2.28   37.79   36.79   32.33    0.54    0.37    0.12    0.31
B08                    17.40   10.17    1.37   38.15   49.16   42.39    0.44    0.28    0.06    0.21
B09                    29.20   29.32   21.57   61.05    3.58    5.04    1.30    1.32    1.47    0.77
B10                    30.50   28.97   18.75   60.74    9.82   10.34    1.37    1.32    1.31    0.77
B11                    33.45   29.94   16.93   61.59   16.83   15.87    1.35    1.26    1.14    0.70
B12                    36.23   30.92   15.55   62.43   22.70   20.62    1.10    1.06    0.96    0.65
B13                    52.47   57.42   47.57   80.40   -7.37   -0.22    1.71    1.92    1.53    0.51
B14                    52.50   52.53   45.19   77.58    4.86   -2.25    1.96    2.13    1.61    0.63
B15                    54.70   57.90   43.52   80.67   -2.82    5.11    2.06    2.23    1.89    0.59
B16                    49.00   51.00   43.16   76.66   -0.47   -1.34    1.89    2.03    1.71    0.55
B17                    51.92   52.27   42.55   77.43    4.02    0.74    2.01    2.12    1.86    0.58
B18                    52.16   57.18   44.22   80.26   -7.61    3.56    2.14    2.39    2.06    0.58
B19                    49.71   51.67   45.49   77.06   -0.28   -3.50    2.36    2.58    2.13    0.70
B20                     9.38   13.83   23.18   43.96  -28.63  -27.52    0.64    0.85    1.77    0.73
B21                     9.02    4.54    7.15   25.38   48.56  -17.12    0.45    0.22    0.51    0.52
B22                    26.78   24.60    2.08   56.66   12.94   66.64    1.29    1.23    0.10    0.81
C01                     5.28    5.24    2.93   27.40    2.82    9.13    0.20    0.21    0.15    0.29
C02                     5.80    5.37    1.84   27.76    7.21   19.14    0.21    0.20    0.08    0.32
C03                     6.32    5.48    1.08   28.05   11.66   28.77    0.21    0.19    0.03    0.34
C04                     6.72    5.53    0.70   28.20   15.27   35.40    0.23    0.19    0.02    0.39
C05                    20.07   19.52   10.23   51.28    6.23   16.32    0.76    0.76    0.59    0.55
C06                    21.73   19.48    5.57   51.23   14.43   34.49    0.85    0.80    0.32    0.43
C07                    24.48   20.28    2.73   52.14   22.88   53.28    0.90    0.79    0.13    0.48
C08                    27.40   21.09    1.37   53.04   31.13   67.97    0.83    0.70    0.06    0.50
C09                    34.42   35.21   23.50   65.89    1.63    9.68    1.55    1.62    1.59    0.77
C10                    36.13   35.76   20.15   66.32    5.59   16.99    1.65    1.70    1.43    0.77
C11                    38.73   36.57   16.88   66.94   11.35   25.20    1.57    1.59    1.11    0.64
C12                    40.27   36.92   14.39   67.21   15.05   31.77    1.30    1.33    0.87    0.55
C13                    46.23   53.68   47.88   78.26  -15.02   -4.27    1.54    1.78    1.65    0.53
C14                    46.94   42.97   42.03   71.52   16.04   -8.79    1.79    1.78    1.61    0.58
C15                    54.24   57.76   34.59   80.59   -3.67   16.92    2.09    2.25    2.05    0.67
C16                    35.35   36.98   30.58   67.25   -1.04   -0.07    1.65    1.72    1.90    0.70
C17                    44.28   41.35   30.06   70.40   13.26    6.19    1.79    1.75    1.87    0.71
C18                    43.74   51.61   34.76   77.03  -16.86   10.54    1.94    2.22    2.29    0.75
C19                    38.88   39.75   42.27   69.27    1.77  -12.97    1.99    2.12    2.08    0.63
C20                     5.82    8.85   14.67   35.67  -26.72  -23.28    0.40    0.53    1.14    0.62
C21                     5.32    2.73    4.77   18.94   39.72  -17.04    0.28    0.14    0.37    0.53
C22                    15.95   15.23    1.56   45.93    7.49   53.57    0.77    0.75    0.07    0.70
D01                     3.45    3.65    2.07   22.46   -1.09    7.79    0.13    0.14    0.10    0.30
D02                     3.41    3.68    1.31   22.57   -2.16   16.27    0.13    0.15    0.05    0.38
D03                     3.61    3.93    0.88   23.42   -2.67   23.89    0.14    0.16    0.03    0.44
D04                     3.76    4.03    0.69   23.76   -1.84   27.97    0.14    0.16    0.03    0.43
D05                    15.24   16.11    8.28   47.10   -1.69   15.89    0.59    0.65    0.49    0.48
D06                    14.97   15.96    4.47   46.91   -2.46   32.83    0.60    0.66    0.22    0.47
D07                    15.37   16.50    2.24   47.62   -3.15   49.55    0.56    0.63    0.09    0.57
D08                    15.69   16.68    1.56   47.84   -2.25   56.79    0.61    0.68    0.06    0.66
D09                    41.29   43.36   20.95   71.78   -1.57   24.77    1.91    2.10    1.55    0.87
D10                    42.08   44.35   12.39   72.44   -2.04   46.23    1.81    2.06    0.83    0.74
D11                    41.38   44.43    6.36   72.50   -4.38   67.52    1.69    1.94    0.36    0.76
D12                    41.43   45.23    3.87   73.03   -6.50   81.42    1.47    1.65    0.16    0.73
D13                    41.17   50.10   48.04   76.12  -20.61   -8.14    1.41    1.71    1.62    0.56
D14                    41.70   35.28   37.80   65.95   24.84  -12.85    1.61    1.49    1.68    0.57
D15                    54.18   58.36   27.11   80.93   -5.25   29.17    2.03    2.24    1.79    0.70
D16                    26.73   28.12   22.73   59.98   -1.58    0.94    1.29    1.36    1.59    0.73
D17                    38.77   33.83   22.08   64.81   20.67   10.51    1.53    1.44    1.46    0.61
D18                    39.29   49.36   28.14   75.66  -24.47   18.38    1.72    2.04    1.96    0.72
D19                    30.59   30.73   39.27   62.25    3.60  -21.18    1.66    1.73    2.04    0.58
D20                     3.12    4.87    8.04   26.34  -23.28  -18.97    0.24    0.34    0.71    0.61
D21                     2.93    1.59    2.96   13.19   30.13  -15.58    0.16    0.09    0.24    0.53
D22                     8.30    8.26    1.09   34.51    3.03   39.76    0.41    0.41    0.05    0.57
E01                     4.79    5.51    3.03   28.12   -6.40    9.61    0.17    0.21    0.14    0.41
E02                     4.22    5.38    1.98   27.78  -12.49   17.80    0.15    0.20    0.08    0.40
E03                     4.10    5.65    1.29   28.51  -17.30   26.68    0.16    0.23    0.05    0.51
E04                     4.13    5.74    0.94   28.74  -17.92   32.08    0.16    0.23    0.04    0.54
E05                    21.32   24.38   13.05   56.45   -9.99   16.80    0.95    1.12    0.79    0.65
E06                    19.92   24.97    7.96   57.03  -19.24   34.21    0.93    1.23    0.46    0.74
E07                    17.97   25.01    4.51   57.07  -29.41   50.10    0.77    1.12    0.22    0.71
E08                    17.24   25.81    3.53   57.84  -36.63   57.40    0.71    1.08    0.16    0.66
E09                    39.07   42.90   27.77   71.47   -7.10   11.76    1.86    2.08    1.91    0.87
E10                    37.99   44.28   21.69   72.39  -14.51   24.37    1.69    2.01    1.52    0.79
E11                    36.19   44.54   17.13   72.57  -21.16   34.34    1.57    1.96    1.12    0.71
E12                    34.55   44.56   13.67   72.59  -26.78   42.95    1.30    1.64    0.79    0.55
E13                    38.20   48.41   48.56   75.08  -25.39  -10.54    1.28    1.56    1.62    0.50
E14                    37.36   29.38   34.66   61.10   32.11  -16.80    1.50    1.29    1.68    0.64
E15                    54.65   58.96   21.81   81.25   -5.47   39.40    2.02    2.25    1.49    0.67
E16                    19.22   20.25   15.95   52.11   -1.55    1.85    0.88    0.91    1.11    0.64
E17                    33.86   27.62   15.93   59.53   27.17   14.70    1.26    1.16    1.12    0.66
E18                    35.48   46.59   22.87   73.91  -29.33   24.70    1.53    1.89    1.62    0.75
E19                    23.21   22.96   35.41   55.01    4.88  -28.37    1.36    1.38    2.01    0.67
E20                     1.25    2.03    3.50   15.61  -18.90  -15.16    0.10    0.14    0.32    0.50
E21                     1.26    0.75    1.38    6.75   19.59  -11.86    0.07    0.04    0.11    0.48
E22                     3.36    3.38    0.67   21.50    1.55   24.41    0.16    0.16    0.03    0.42
F01                     3.07    3.92    2.78   23.39  -11.35    3.32    0.12    0.17    0.14    0.40
F02                     2.68    4.11    2.46   24.02  -21.01    6.99    0.11    0.18    0.12    0.48
F03                     2.41    4.39    2.20   24.91  -30.15   10.82    0.10    0.18    0.09    0.46
F04                     2.21    4.39    1.97   24.93  -34.32   12.98    0.09    0.18    0.08    0.43
F05                    10.12   12.90    8.97   42.60  -16.75    5.61    0.45    0.57    0.49    0.54
F06                     7.92   12.63    7.17   42.19  -33.53   11.78    0.35    0.56    0.41    0.50
F07                     6.39   12.47    6.05   41.94  -47.45   16.24    0.29    0.56    0.33    0.49
F08                     6.36   12.42    6.01   41.86  -47.39   16.26    0.30    0.57    0.34    0.46
F09                    26.43   30.78   22.41   62.30  -12.76    5.54    1.25    1.48    1.46    0.75
F10                    23.66   30.70   20.37   62.24  -24.28    9.50    1.17    1.52    1.36    0.72
F11                    21.01   30.82   18.51   62.34  -36.86   13.60    1.05    1.51    1.21    0.68
F12                    19.81   32.16   17.28   63.47  -47.52   18.30    0.77    1.12    1.03    0.61
F13                    35.77   46.76   49.02   74.03  -28.82  -12.89    1.20    1.47    1.53    0.48
F14                    34.22   25.09   32.04   57.15   38.64  -19.74    1.32    1.06    1.57    0.60
F15                    54.62   58.72   17.83   81.12   -4.96   47.50    2.10    2.37    1.27    0.69
F16                    13.97   14.71   11.80   45.22   -1.37    1.04    0.71    0.74    0.85    0.56
F17                    28.97   21.76   11.24   53.76   34.19   17.43    0.96    0.84    0.80    0.60
F18                    31.36   43.19   18.31   71.67  -34.11   30.15    1.32    1.69    1.30    0.72
F19                    18.03   17.50   31.42   48.87    6.25  -33.06    1.06    1.02    1.90    0.72
F20                     0.38    0.66    0.97    5.92  -10.29   -7.69    0.02    0.04    0.08    0.37
F21                     0.46    0.34    0.55    3.03    5.70   -5.16    0.02    0.02    0.03    0.26
F22                     1.11    1.17    0.38   10.33   -0.67   10.61    0.05    0.05    0.02    0.28
G01                     2.18    2.65    2.31   18.59   -7.84   -1.04    0.09    0.11    0.12    0.34
G02                     1.93    2.69    2.52   18.77  -14.13   -2.51    0.07    0.11    0.12    0.39
G03                     1.78    2.97    2.82   19.92  -22.60   -2.92    0.08    0.13    0.14    0.44
G04                     1.63    3.06    2.92   20.26  -27.92   -3.13    0.09    0.15    0.16    0.44
G05                    10.56   13.10   11.32   42.91  -14.70   -1.54    0.47    0.58    0.65    0.56
G06                     8.57   12.80   12.23   42.45  -28.87   -5.04    0.39    0.57    0.69    0.52
G07                     7.36   13.08   12.87   42.87  -41.71   -6.12    0.38    0.64    0.75    0.52
G08                     6.88   12.39   12.86   41.82  -41.91   -7.90    0.36    0.60    0.79    0.51
G09                    27.06   31.23   26.33   62.68  -11.85   -0.95    1.26    1.46    1.64    0.76
G10                    24.35   31.33   27.46   62.77  -23.53   -2.72    1.23    1.55    1.77    0.76
G11                    21.43   30.96   28.49   62.46  -35.40   -4.97    1.08    1.48    1.80    0.73
G12                    20.09   32.13   29.11   63.44  -46.06   -4.29    0.88    1.18    1.81    0.88
G13                    32.82   44.10   48.51   72.29  -31.49  -15.30    1.17    1.44    1.56    0.49
G14                    30.31   20.69   27.98   52.59   44.26  -21.16    1.21    0.90    1.56    0.64
G15                    53.60   56.51   13.54   79.88   -2.22   55.89    2.06    2.39    0.95    0.64
G16                     9.48   10.00    8.08   37.83   -1.34    0.68    0.52    0.54    0.60    0.49
G17                    25.25   17.41    7.58   48.76   40.73   21.48    0.69    0.59    0.53    0.54
G18                    26.79   38.61   14.23   68.45  -37.82   34.32    1.22    1.65    0.93    0.52
G19                    12.94   12.23   26.95   41.56    7.80  -38.44    0.79    0.74    1.67    0.72
G20                    10.88    5.09    0.24   26.98   56.35   42.06    0.36    0.17    0.02    0.42
G21                    10.35   17.03    2.50   48.27  -39.47   48.51    0.62    1.02    0.14    0.90
G22                     2.11    1.34   10.63   11.54   21.16  -53.49    0.12    0.07    0.60    0.59
H01                     2.30    2.67    2.80   18.65   -5.56   -4.97    0.10    0.11    0.16    0.37
H02                     2.11    2.72    3.65   18.89  -10.55  -10.57    0.09    0.12    0.20    0.43
H03                     1.98    2.90    4.54   19.62  -16.64  -14.61    0.09    0.13    0.24    0.44
H04                     1.85    2.95    5.53   19.82  -20.52  -19.45    0.10    0.14    0.30    0.43
H05                     8.75   10.28   10.93   38.33   -9.56   -8.24    0.40    0.46    0.63    0.54
H06                     7.52    9.89   13.94   37.63  -17.58  -18.06    0.36    0.45    0.84    0.68
H07                     7.02   10.36   17.95   38.46  -26.07  -26.33    0.38    0.51    1.10    0.67
H08                     6.02    9.10   18.25   36.16  -26.60  -30.96    0.35    0.47    1.11    0.71
H09                    28.49   30.89   28.66   62.39   -4.94   -5.35    1.42    1.51    1.92    0.87
H10                    27.09   30.87   32.40   62.38  -10.44  -11.26    1.38    1.56    1.97    0.74
H11                    25.67   30.46   35.95   62.03  -14.75  -17.02    1.32    1.58    1.96    0.70
H12                    25.23   30.79   41.00   62.31  -17.84  -23.35    1.34    1.70    1.85    0.80
H13                    30.24   41.74   47.80   70.68  -33.96  -17.24    1.11    1.40    1.54    0.46
H14                    26.95   17.14   23.97   48.43   49.16  -21.32    1.00    0.69    1.42    0.68
H15                    53.86   56.48   10.67   79.87   -1.52   64.21    1.95    2.30    0.70    0.64
H16                     6.14    6.49    5.11   30.59   -1.27    1.25    0.37    0.39    0.39    0.46
H17                    22.13   14.06    4.96   44.32   46.14   25.67    0.54    0.45    0.36    0.56
H18                    24.28   36.18   11.23   66.64  -40.55   39.65    1.12    1.54    0.72    0.50
H19                     9.71    8.90   24.05   35.76    9.40  -43.30    0.65    0.59    1.58    0.77
H20                     8.98    4.14    0.22   24.12   53.71   37.36    0.40    0.18    0.01    0.55
H21                     6.82   11.60    1.85   40.56  -37.05   41.12    0.41    0.70    0.10    0.80
H22                     1.57    0.96    7.90    8.61   20.50  -49.01    0.10    0.05    0.48    0.61
I01                     3.71    3.85    5.57   23.18   -0.14  -13.84    0.17    0.17    0.28    0.43
I02                     3.77    3.86    8.62   23.20    0.63  -26.55    0.18    0.18    0.46    0.50
I03                     3.95    3.96   13.00   23.53    1.90  -39.82    0.19    0.18    0.67    0.63
I04                     4.12    4.09   17.26   23.97    2.41  -49.77    0.22    0.20    0.89    0.75
I05                    12.63   13.16   13.68   42.99   -0.40   -8.12    0.60    0.62    0.82    0.60
I06                    12.65   13.06   18.15   42.85    0.34  -19.23    0.62    0.62    1.09    0.72
I07                    12.66   12.89   23.45   42.58    1.55  -30.42    0.64    0.61    1.40    0.81
I08                    12.94   12.89   29.68   42.58    3.46  -41.19    0.61    0.57    1.48    0.60
I09                    29.84   30.91   29.52   62.42    0.12   -6.71    1.41    1.44    1.83    0.72
I10                    29.55   30.61   32.55   62.16    0.10  -11.85    1.44    1.48    1.91    0.71
I11                    29.65   30.35   37.53   61.93    1.48  -19.39    1.49    1.54    1.96    0.63
I12                    29.55   30.11   40.43   61.73    1.96  -23.62    1.51    1.63    1.76    0.70
I13                    27.87   39.44   47.05   69.06  -36.06  -19.17    1.11    1.42    1.67    0.44
I14                    24.20   14.38   21.08   44.76   53.44  -22.09    0.90    0.56    1.36    0.79
I15                    53.09   54.95    8.57   79.00    0.28   69.81    1.90    2.25    0.56    0.67
I16                     3.37    3.57    3.00   22.19   -1.27   -0.36    0.20    0.21    0.21    0.35
I17                    19.13   11.19    3.06   39.89   50.73   29.68    0.40    0.29    0.19    0.39
I18                    20.85   32.26    8.95   63.54  -42.81   41.80    1.04    1.51    0.55    0.56
I19                     6.79    5.91   20.17   29.16   11.72  -47.14    0.44    0.37    1.32    0.74
I20                     5.34    2.54    0.21   18.10   43.50   27.33    0.28    0.13    0.01    0.63
I21                     4.52    7.72    1.49   33.37  -32.62   32.65    0.25    0.42    0.07    0.56
I22                     1.06    0.66    5.28    5.99   16.49  -42.03    0.06    0.04    0.32    0.72
J01                     1.13    0.94    1.87    8.50    7.97  -14.31    0.06    0.05    0.12    0.38
J02                     1.44    1.00    3.90    8.99   15.38  -29.22    0.07    0.05    0.24    0.60
J03                     1.79    1.04    6.98    9.28   23.32  -44.20    0.10    0.05    0.40    0.73
J04                     1.79    0.97    7.62    8.73   25.66  -47.73    0.09    0.05    0.40    0.67
J05                     7.87    7.63    8.80   33.19    4.81   -9.97    0.40    0.38    0.60    0.66
J06                     8.57    7.63   12.41   33.18   11.10  -21.51    0.44    0.37    0.81    0.77
J07                     9.32    7.56   17.09   33.04   18.06  -33.74    0.47    0.35    1.03    0.90
J08                     9.70    7.31   21.25   32.50   23.46  -43.58    0.48    0.33    1.17    0.86
J09                    25.03   25.46   23.93   57.50    2.06   -5.58    1.22    1.22    1.56    0.80
J10                    26.09   25.78   27.96   57.81    5.17  -12.11    1.36    1.29    1.90    0.90
J11                    26.35   25.11   31.05   57.16    9.02  -18.18    1.46    1.37    2.02    0.84
J12                    26.74   24.66   34.98   56.72   12.48  -24.80    1.51    1.41    1.96    0.67
J13                    25.67   36.93   46.55   67.21  -37.10  -21.75    1.12    1.49    1.70    0.47
J14                    22.09   12.42   19.18   41.87   56.44  -23.12    0.81    0.47    1.23    0.79
J15                    51.65   52.60    6.55   77.62    2.48   75.51    1.94    2.29    0.42    0.74
J16                     1.81    1.96    1.63   15.25   -1.94   -0.14    0.10    0.10    0.11    0.22
J17                    16.57    8.95    1.57   35.89   54.33   36.08    0.31    0.20    0.09    0.24
J18                    17.07   27.40    6.46   59.32  -44.01   44.36    0.95    1.46    0.38    0.70
J19                     5.09    4.05   18.46   23.80   15.94  -52.74    0.32    0.25    1.13    0.68
J20                     3.03    1.52    0.20   12.72   33.86   18.23    0.17    0.08    0.01    0.57
J21                     2.53    4.37    1.03   24.84  -27.46   24.09    0.16    0.26    0.05    0.57
J22                     0.64    0.40    3.17    3.59   10.52  -33.67    0.04    0.02    0.18    0.63
K01                     1.95    1.67    2.03   13.66    8.34   -6.97    0.08    0.07    0.12    0.38
K02                     2.45    1.65    2.91   13.53   19.70  -14.60    0.12    0.08    0.20    0.57
K03                     3.17    1.74    4.10   14.04   30.62  -21.71    0.17    0.09    0.28    0.66
K04                     3.46    1.75    4.48   14.12   35.06  -23.75    0.18    0.09    0.31    0.75
K05                     6.58    5.59    6.36   28.35   13.08   -8.62    0.34    0.28    0.44    0.59
K06                     8.25    5.76    9.16   28.79   27.25  -18.85    0.40    0.26    0.62    0.81
K07                     9.60    5.60   12.17   28.36   40.45  -29.14    0.45    0.24    0.78    0.94
K08                    10.29    5.62   13.39   28.43   45.56  -32.44    0.46    0.23    0.77    0.87
K09                    21.37   20.36   19.52   52.23    8.41   -5.99    1.05    0.98    1.37    0.82
K10                    24.20   21.21   23.57   53.16   17.23  -12.41    1.25    1.07    1.64    0.90
K11                    25.69   20.37   26.97   52.23   27.53  -20.06    1.36    1.06    1.70    0.78
K12                    27.92   20.58   30.97   52.46   35.60  -26.17    1.54    1.17    1.82    0.69
K13                    23.44   34.33   45.76   65.21  -38.07  -24.26    1.04    1.44    1.71    0.46
K14                    20.13   10.73   17.24   39.11   59.01  -23.60    0.73    0.40    1.11    0.79
K15                    50.33   50.42    4.98   76.31    4.65   80.72    1.90    2.23    0.30    0.79
K16                     0.75    0.81    0.65    7.32   -1.21    0.39    0.04    0.05    0.04    0.19
K17                    13.42    6.68    0.70   31.06   56.28   40.35    0.33    0.17    0.04    0.18
K18                    13.77   22.83    4.47   54.88  -44.22   46.58    0.82    1.33    0.27    0.80
K19                     3.60    2.61   15.36   18.40   18.75  -54.83    0.23    0.15    0.96    0.75
K20                     1.44    0.79    0.20    7.12   23.47    8.49    0.08    0.04    0.01    0.48
K21                     1.13    1.99    0.65   15.44  -22.17   14.45    0.08    0.12    0.03    0.48
K22                     0.36    0.28    1.65    2.50    3.96  -22.41    0.02    0.02    0.11    0.64
L01                     1.94    1.69    1.54   13.78    7.51   -1.63    0.08    0.07    0.09    0.32
L02                     2.43    1.65    1.68   13.50   19.33   -3.71    0.12    0.08    0.12    0.40
L03                     2.94    1.63    1.78   13.40   29.45   -4.95    0.13    0.07    0.12    0.46
L04                     3.47    1.76    2.02   14.16   34.98   -6.08    0.16    0.08    0.15    0.58
L05                     6.84    5.63    5.16   28.45   15.33   -2.72    0.34    0.28    0.34    0.55
L06                     8.59    5.69    5.63   28.60   31.01   -4.76    0.41    0.26    0.39    0.65
L07                    10.48    5.71    6.12   28.66   46.09   -7.00    0.47    0.24    0.40    0.76
L08                    12.42    5.87    6.37   29.07   58.20   -7.41    0.47    0.22    0.40    0.71
L09                    21.18   20.24   17.07   52.09    8.12   -0.82    1.05    1.00    1.19    0.81
L10                    24.47   20.99   18.49   52.93   19.39   -2.57    1.25    1.06    1.32    0.84
L11                    27.13   21.05   19.06   52.98   30.22   -3.70    1.40    1.09    1.47    0.90
L12                    30.07   21.35   19.37   53.32   40.27   -3.77    1.04    0.86    1.52    1.05
L13                    20.91   31.10   43.98   62.57  -38.37  -26.64    1.06    1.54    1.86    0.59
L14                    18.42    9.48   15.08   36.88   60.00  -22.26    0.69    0.35    1.04    0.89
L15                    49.52   48.62    3.91   75.20    7.27   84.89    1.69    2.00    0.22    0.76
L16                     0.17    0.20    0.20    1.77   -0.86   -0.70    0.01    0.01    0.01    0.06
L17                    10.91    5.13    0.30   27.10   56.05   41.05    0.35    0.17    0.02    0.42
L18                    11.42   19.31    3.31   51.02  -43.40   47.15    0.68    1.14    0.19    0.84
L19                     2.38    1.54   12.04   12.86   21.17  -55.47    0.15    0.09    0.75    0.66
L20                     0.52    0.35    0.21    3.18    7.13    1.54    0.03    0.02    0.01    0.23
L21                     0.37    0.66    0.38    5.96  -10.71    3.09    0.02    0.03    0.02    0.29
L22                     0.18    0.18    0.52    1.66    0.02   -6.96    0.01    0.01    0.03    0.26
Dmin                   64.23   67.02   51.09   85.50   -0.90    4.58    2.01    2.09    2.13    0.71
GS01                   54.64   57.34   47.03   80.36   -1.62    0.35    2.05    2.20    2.04    0.71
GS02                   45.95   47.89   39.50   74.73   -0.63    0.04    2.15    2.30    2.23    0.89
GS03                   38.43   39.94   32.75   69.41   -0.25    0.35    1.89    2.01    2.04    0.82
GS04                   34.32   35.89   28.96   66.42   -1.00    1.11    1.76    1.84    2.08    0.94
GS05                   29.61   30.97   24.77   62.46   -0.94    1.43    1.50    1.56    1.74    0.82
GS06                   25.20   26.40   21.56   58.40   -1.10    0.48    1.32    1.39    1.52    0.83
GS07                   21.36   22.42   17.49   54.45   -1.19    2.28    1.10    1.15    1.31    0.86
GS08                   17.99   18.83   15.21   50.47   -0.86    0.84    0.91    0.93    1.05    0.69
GS09                   15.45   16.24   13.10   47.27   -1.21    0.85    0.78    0.80    0.90    0.62
GS10                   12.94   13.56   10.97   43.57   -0.85    0.68    0.68    0.70    0.78    0.68
GS11                   10.75   11.28    9.22   40.04   -0.95    0.34    0.57    0.60    0.67    0.65
GS12                    8.47    8.95    7.50   35.87   -1.40   -0.45    0.48    0.51    0.57    0.62
GS13                    6.71    7.12    5.92   32.07   -1.59   -0.17    0.41    0.43    0.47    0.56
GS14                    5.31    5.65    4.56   28.50   -1.64    0.60    0.31    0.32    0.38    0.57
GS15                    3.93    4.14    3.50   24.12   -0.86   -0.52    0.22    0.23    0.28    0.45
GS16                    2.85    3.08    2.62   20.36   -2.12   -0.59    0.17    0.18    0.22    0.42
GS17                    2.09    2.27    1.91   16.86   -2.16   -0.34    0.12    0.12    0.14    0.33
GS18                    1.50    1.63    1.35   13.39   -1.83   -0.10    0.08    0.09    0.09    0.23
GS19                    0.98    1.05    0.85    9.41   -1.11    0.37    0.06    0.06    0.05    0.22
GS20                    0.46    0.49    0.45    4.42   -0.57   -0.81    0.03    0.03    0.02    0.10
GS21                    0.25    0.28    0.28    2.49   -0.70   -0.95    0.01    0.02    0.01    0.06
GS22                    0.12    0.14    0.14    1.28   -0.53   -0.47    0.01    0.01    0.01    0.06
Dmax                    0.09    0.09    0.08    0.85   -0.20   -0.01    0.00    0.00    0.00    0.03
END_DATA
