IT8.7/1
ORIGINATOR          "Monaco Acquisition Company"
DESCRIPTOR          "IT8.7/1 Reference Data File, 4x5 Ektachrome"
CREATED             "Tuesday, October26, 2004"
MANUFACTURER        "Monaco Acquisition Company"
PROD_DATE           "2004:08"
SERIAL              "Batch Average Data"
MATERIAL            "Kodak Ektachrome Product Family"
NUMBER_OF_FIELDS          11
BEGIN_DATA_FORMAT
SAMPLE_ID           XYZ_X   XYZ_Y   XYZ_Z   LAB_L   LAB_A   LAB_B   STDEV_X STDEV_Y STDEV_Z STDEV_DE
END_DATA_FORMAT
NUMBER_OF_SETS 288
#
BEGIN_DATA
#ID                      X       Y       Z       L       A       B     SD_X    SD_Y    SD_Z   SD_dE
F05                    11.10   13.43   10.32   43.40  -12.83    2.42    0.53    0.59    0.59    0.56
F06                     9.32   13.04    8.96   42.81  -24.10    6.03    0.49    0.61    0.54    0.59
F07                     8.10   13.03    7.78   42.80  -34.52   10.39    0.40    0.59    0.45    0.63
F08                     7.25   13.53    6.88   43.54  -45.63   15.32    0.35    0.65    0.38    0.78
F09                    26.17   30.22   23.46   61.83  -11.81    2.74    1.27    1.43    1.52    0.90
F10                    23.39   30.60   21.33   62.15  -25.06    7.39    1.11    1.43    1.31    0.94
F11                    21.15   30.80   19.35   62.32  -36.12   11.76    1.00    1.42    1.16    1.01
F12                    19.24   31.14   17.82   62.61  -46.72   15.60    0.77    1.17    1.00    0.95
F13                    39.09   47.78   52.84   74.67  -20.83  -16.03    1.41    1.72    1.71    0.60
F14                    37.78   29.11   30.49   60.86   34.49  -10.92    1.44    1.15    1.94    0.80
F15                    54.58   53.92   17.98   78.40    6.66   42.46    1.34    1.72    1.07    0.85
F16                    14.45   15.37   13.09   46.13   -2.28   -1.11    0.71    0.69    0.84    0.63
F17                    31.35   24.28   11.60   56.36   31.87   20.82    1.06    0.90    0.75    0.55
F18                    29.90   37.68   17.87   67.76  -22.69   24.38    1.55    1.93    1.34    0.90
F19                    18.19   17.04   27.91   48.29    9.56  -28.42    1.08    0.88    2.12    1.22
F20                     0.92    1.15    1.26   10.20   -7.12   -4.46    0.06    0.07    0.11    0.37
F21                     0.75    0.57    0.69    5.12    8.09   -4.23    0.05    0.03    0.05    0.44
F22                     1.33    1.38    0.42   11.79    0.19   12.38    0.07    0.07    0.02    0.37
G01                     2.25    2.76    2.48   19.06   -8.36   -1.75    0.12    0.13    0.14    0.37
G02                     1.95    2.78    2.59   19.12  -15.12   -2.47    0.11    0.14    0.15    0.41
G03                     1.79    2.94    2.84   19.79  -21.92   -3.29    0.10    0.15    0.17    0.38
G04                     1.48    2.86    2.97   19.45  -28.56   -4.85    0.09    0.15    0.18    0.41
G05                    11.32   13.54   11.90   43.56  -11.96   -2.15    0.56    0.61    0.71    0.56
G06                     9.78   13.17   12.31   43.01  -21.20   -4.29    0.51    0.60    0.76    0.60
G07                     8.68   13.20   12.84   43.04  -30.46   -5.73    0.44    0.60    0.75    0.64
G08                     7.83   13.49   13.56   43.48  -39.92   -6.94    0.40    0.64    0.80    0.81
G09                    26.52   30.65   26.74   62.19  -11.97   -2.49    1.27    1.43    1.70    0.94
G10                    23.97   30.89   28.16   62.40  -23.61   -4.53    1.14    1.43    1.69    0.95
G11                    22.13   31.48   29.62   62.89  -34.01   -6.05    1.10    1.48    1.75    0.97
G12                    20.41   31.64   30.11   63.03  -42.72   -6.60    0.90    1.25    1.71    0.94
G13                    35.80   45.10   52.07   72.95  -24.07  -18.16    1.29    1.63    1.62    0.63
G14                    34.57   25.27   27.29   57.33   39.10  -11.83    1.21    0.94    1.72    0.79
G15                    53.53   52.79   14.45   77.74    6.87   49.79    1.25    1.64    0.84    0.89
G16                     9.64   10.22    8.75   38.22   -1.70   -1.15    0.51    0.49    0.59    0.57
G17                    26.88   19.55    7.99   51.32   36.43   24.27    0.96    0.73    0.51    0.58
G18                    26.45   34.56   14.32   65.38  -26.01   28.82    1.33    1.74    1.01    0.88
G19                    13.67   12.34   24.02   41.74   11.72  -32.91    0.87    0.68    1.85    1.25
G20                     7.23    3.40    0.21   21.58   48.78   33.30    0.44    0.21    0.01    1.11
G21                     8.96   14.38    2.48   44.75  -35.48   42.59    0.49    0.79    0.14    0.89
G22                     1.60    0.96    7.43    8.64   21.33  -47.11    0.11    0.06    0.51    0.86
H01                     2.36    2.77    2.90   19.09   -6.12   -5.00    0.12    0.13    0.16    0.39
H02                     2.15    2.81    3.93   19.27  -11.30  -11.63    0.12    0.14    0.24    0.44
H03                     2.01    2.88    4.92   19.53  -15.50  -16.81    0.12    0.15    0.30    0.44
H04                     1.89    2.93    5.81   19.76  -19.43  -20.88    0.12    0.15    0.36    0.45
H05                     8.60   10.17   11.54   38.14   -9.98  -10.44    0.44    0.46    0.69    0.61
H06                     7.94   10.42   14.80   38.57  -17.74  -18.65    0.43    0.49    0.91    0.67
H07                     7.23   10.53   19.07   38.76  -25.31  -28.26    0.37    0.47    1.11    0.73
H08                     7.08   10.57   19.86   38.84  -27.09  -29.80    0.36    0.47    1.13    0.74
H09                    27.79   30.37   28.42   61.95   -5.82   -5.72    1.36    1.43    1.83    0.97
H10                    26.89   30.76   32.84   62.28  -10.85  -12.08    1.28    1.41    1.98    0.89
H11                    25.71   30.63   37.01   62.17  -15.21  -18.26    1.23    1.41    2.02    0.84
H12                    24.33   31.04   46.09   62.52  -22.57  -29.29    1.14    1.52    1.74    0.94
H13                    33.15   42.86   51.54   71.44  -26.68  -20.17    1.25    1.61    1.68    0.68
H14                    30.55   20.87   23.72   52.80   44.25  -13.32    1.03    0.74    1.47    0.74
H15                    52.57   51.60   11.58   77.03    7.47   56.50    1.17    1.55    0.66    0.86
H16                     6.10    6.50    5.55   30.62   -1.75   -0.94    0.33    0.32    0.37    0.49
H17                    22.46   15.37    5.30   46.13   39.82   27.04    0.89    0.60    0.32    0.66
H18                    23.02   31.12   11.14   62.58  -28.61   32.96    1.17    1.59    0.76    0.94
H19                    10.12    8.62   20.67   35.23   14.93  -37.67    0.66    0.49    1.51    1.09
H20                     5.16    2.58    0.21   18.26   40.74   27.52    0.30    0.15    0.01    0.89
H21                     6.33    9.92    1.91   37.69  -29.78   35.60    0.33    0.50    0.10    0.67
H22                     1.26    0.82    5.27    7.36   16.93  -39.60    0.09    0.05    0.36    0.80
I01                     3.92    4.11    6.02   24.03   -0.67  -14.51    0.20    0.19    0.31    0.43
I02                     4.05    4.19    9.27   24.28    0.07  -27.02    0.21    0.20    0.48    0.48
I03                     4.22    4.26   14.09   24.50    1.65  -41.11    0.22    0.20    0.73    0.53
I04                     4.40    4.36   17.90   24.83    2.67  -49.73    0.22    0.20    0.87    0.55
I05                    12.70   13.34   14.54   43.26   -1.09   -9.90    0.58    0.54    0.83    0.62
I06                    12.87   13.42   19.23   43.38   -0.50  -20.65    0.65    0.59    1.15    0.76
I07                    13.11   13.50   24.76   43.50    0.58  -31.26    0.67    0.60    1.41    0.78
I08                    13.35   13.53   32.18   43.54    1.96  -43.43    0.62    0.58    1.49    0.67
I09                    28.89   30.40   29.32   61.98   -1.60   -7.15    1.38    1.39    1.76    0.88
I10                    29.09   30.56   33.51   62.12   -1.45  -13.35    1.33    1.34    1.89    0.85
I11                    29.39   30.61   37.53   62.16   -0.48  -19.00    1.39    1.40    1.95    0.75
I12                    29.68   30.61   40.82   62.16    0.63  -23.38    1.40    1.42    1.95    0.80
I13                    30.75   40.89   51.53   70.09  -29.50  -22.50    1.12    1.47    1.56    0.67
I14                    27.27   17.49   21.36   48.86   48.58  -15.57    1.00    0.65    1.37    0.76
I15                    51.57   50.28    8.79   76.23    8.29   64.24    1.20    1.57    0.49    0.90
I16                     3.45    3.71    3.20   22.66   -1.98   -0.99    0.19    0.18    0.21    0.49
I17                    18.94   11.95    3.15   41.12   44.36   31.17    0.80    0.49    0.19    0.77
I18                    19.77   28.00    8.42   59.87  -32.29   37.40    0.98    1.40    0.52    0.96
I19                     7.41    5.96   18.03   29.31   17.20  -42.27    0.49    0.34    1.28    1.07
I20                     3.58    1.90    0.21   14.94   33.34   21.80    0.22    0.12    0.01    0.82
I21                     4.30    6.52    1.41   30.68  -23.90   29.04    0.23    0.33    0.08    0.56
I22                     1.00    0.68    3.61    6.12   13.54  -32.30    0.07    0.04    0.26    0.87
J01                     1.10    1.03    1.58    9.21    3.88  -10.05    0.06    0.05    0.10    0.38
J02                     1.25    1.02    2.47    9.16    8.90  -18.72    0.07    0.05    0.16    0.49
J03                     1.44    1.02    3.79    9.18   14.48  -28.15    0.08    0.05    0.23    0.53
J04                     1.62    1.03    5.32    9.25   19.30  -36.63    0.09    0.05    0.30    0.59
J05                     7.98    7.79    9.38   33.53    4.35  -11.44    0.40    0.36    0.54    0.57
J06                     8.76    7.82   13.47   33.59   10.95  -23.74    0.45    0.36    0.79    0.70
J07                     9.62    7.80   18.34   33.55   18.21  -35.65    0.50    0.36    1.07    0.81
J08                    10.42    7.95   23.44   33.87   23.19  -45.45    0.52    0.36    1.22    0.83
J09                    24.26   24.69   23.85   56.76    1.97   -6.73    1.09    1.03    1.43    0.88
J10                    24.91   24.73   27.42   56.80    4.60  -12.96    1.15    1.05    1.61    0.88
J11                    25.90   24.88   31.81   56.94    8.11  -19.74    1.20    1.05    1.72    0.77
J12                    27.01   24.90   37.60   56.96   12.60  -28.07    1.22    1.05    1.68    0.70
J13                    27.77   38.18   50.53   68.14  -32.53  -24.74    1.02    1.38    1.53    0.69
J14                    24.34   14.39   18.80   44.78   53.98  -17.31    0.79    0.48    1.14    0.74
J15                    51.01   49.41    6.46   75.69    9.13   72.57    1.14    1.51    0.33    0.96
J16                     1.85    1.99    1.67   15.42   -1.73   -0.32    0.10    0.10    0.11    0.40
J17                    15.82    9.04    1.73   36.05   49.27   34.65    0.69    0.38    0.10    0.84
J18                    17.00   25.17    6.23   57.22  -35.32   41.77    0.89    1.32    0.36    1.06
J19                     5.02    3.74   15.25   22.79   19.44  -46.99    0.34    0.21    1.07    1.00
J20                     2.23    1.31    0.21   11.37   24.43   15.65    0.14    0.08    0.01    0.72
J21                     2.76    4.02    1.02   23.73  -18.35   22.29    0.15    0.21    0.06    0.46
J22                     0.72    0.50    2.26    4.56    9.59  -24.83    0.05    0.03    0.16    0.83
K01                     2.08    1.76    2.21   14.16    9.03   -7.80    0.11    0.09    0.13    0.39
K02                     2.56    1.76    3.25   14.15   19.23  -16.00    0.15    0.10    0.21    0.48
K03                     3.15    1.75    4.30   14.09   29.99  -22.77    0.18    0.10    0.26    0.52
K04                     3.41    1.76    4.82   14.19   34.03  -25.51    0.20    0.10    0.29    0.59
K05                     6.68    5.76    6.98   28.78   12.32  -10.55    0.34    0.27    0.42    0.57
K06                     7.94    5.58    9.43   28.31   26.44  -20.62    0.38    0.25    0.53    0.70
K07                     9.92    5.78   12.96   28.85   40.93  -30.54    0.46    0.24    0.69    0.76
K08                    10.73    5.74   15.02   28.73   47.66  -36.17    0.51    0.24    0.81    0.80
K09                    21.18   20.44   20.05   52.32    7.13   -6.94    0.94    0.82    1.21    0.84
K10                    22.95   20.41   23.34   52.28   15.46  -13.51    1.02    0.81    1.33    0.87
K11                    26.26   21.05   28.34   52.99   26.65  -21.06    1.22    0.88    1.50    0.82
K12                    29.19   21.50   33.54   53.48   36.17  -28.32    1.30    0.89    1.49    0.77
K13                    25.01   35.45   49.62   66.08  -34.96  -27.26    0.91    1.28    1.47    0.67
K14                    21.68   11.73   16.39   40.78   59.29  -18.76    0.59    0.34    0.99    0.82
K15                    50.18   48.14    4.71   74.90   10.34   79.77    1.20    1.56    0.22    0.99
K16                     0.73    0.79    0.70    7.17   -1.41   -0.89    0.05    0.05    0.05    0.29
K17                    13.09    6.71    0.82   31.13   53.77   38.35    0.59    0.30    0.05    0.86
K18                    14.50   22.52    4.38   54.55  -38.31   46.51    0.78    1.23    0.25    1.10
K19                     3.31    2.23   12.78   16.66   21.67  -51.04    0.21    0.12    0.86    1.04
K20                     1.86    1.12    0.18    9.94   22.27   13.69    0.12    0.07    0.01    0.71
K21                     1.56    2.16    0.66   16.32  -12.76   15.71    0.08    0.11    0.04    0.42
K22                     0.49    0.36    1.23    3.25    5.68  -16.01    0.03    0.02    0.08    0.62
L01                     2.04    1.77    1.66   14.20    8.09   -2.27    0.12    0.09    0.10    0.40
L02                     2.52    1.72    1.77   13.93   19.37   -3.94    0.15    0.10    0.11    0.46
L03                     3.01    1.70    1.97   13.80   28.93   -6.19    0.18    0.10    0.13    0.54
L04                     3.32    1.69    2.07   13.73   34.51   -7.26    0.18    0.09    0.13    0.59
L05                     6.74    5.70    5.45   28.62   13.57   -3.89    0.33    0.27    0.32    0.55
L06                     8.46    5.64    5.90   28.47   30.46   -6.31    0.40    0.25    0.34    0.64
L07                    10.23    5.59    6.52   28.34   45.50   -9.34    0.50    0.25    0.37    0.76
L08                    12.30    5.91    7.01   29.18   56.87   -9.98    0.59    0.28    0.37    0.78
L09                    21.00   20.24   17.64   52.10    7.26   -2.12    0.88    0.78    1.02    0.76
L10                    23.84   20.60   18.56   52.50   18.47   -3.47    1.04    0.81    1.07    0.83
L11                    26.68   21.04   19.41   52.99   28.41   -4.48    1.16    0.83    1.10    0.86
L12                    30.57   21.93   20.86   53.94   39.45   -5.83    1.02    0.74    1.19    0.76
L13                    23.45   34.02   49.41   64.97  -36.95  -28.94    0.82    1.18    1.40    0.67
L14                    18.71    9.22   14.28   36.40   63.61  -21.06    0.47    0.23    0.84    0.78
L15                    51.00   48.92    3.58   75.39   10.41   87.34    1.23    1.61    0.15    1.06
L16                     0.09    0.10    0.10    0.91   -0.33   -0.41    0.00    0.00    0.01    0.05
L17                    11.21    5.03    0.19   26.82   59.47   42.70    0.18    0.09    0.01    0.29
L18                    12.20   20.01    3.06   51.83  -41.44   50.29    0.65    1.10    0.16    1.14
L19                     2.11    1.25   10.47   10.89   23.76  -54.08    0.15    0.08    0.75    1.02
L20                     0.61    0.43    0.17    3.92    7.69    3.47    0.04    0.02    0.01    0.37
L21                     0.76    0.99    0.45    8.91   -7.75    6.86    0.05    0.06    0.03    0.39
L22                     0.26    0.23    0.62    2.05    1.56   -8.20    0.02    0.01    0.04    0.40
Dmin                   69.13   69.50   57.02   86.74    4.63    0.36    1.89    2.06    1.68    0.60
GS01                   53.73   56.46   47.76   79.86   -1.78   -1.36    2.02    2.14    1.91    0.69
GS02                   46.48   48.77   41.26   75.29   -1.51   -1.29    1.82    1.87    1.92    0.68
GS03                   39.74   41.77   35.14   70.70   -1.69   -0.94    1.60    1.63    1.72    0.80
GS04                   35.05   36.69   31.00   67.03   -1.10   -1.11    1.51    1.52    1.61    0.85
GS05                   29.68   31.24   26.20   62.70   -1.69   -0.71    1.27    1.26    1.47    0.88
GS06                   25.52   26.87   22.63   58.84   -1.66   -0.84    1.09    1.08    1.28    0.86
GS07                   21.67   22.71   19.32   54.76   -1.08   -1.22    0.92    0.90    1.11    0.78
GS08                   18.40   19.29   16.15   51.01   -1.03   -0.53    0.77    0.74    0.96    0.71
GS09                   15.74   16.62   13.90   47.76   -1.62   -0.47    0.65    0.63    0.81    0.64
GS10                   12.96   13.79   11.62   43.93   -2.21   -0.68    0.56    0.54    0.63    0.56
GS11                   10.44   11.09    9.50   39.71   -1.86   -1.20    0.49    0.47    0.55    0.57
GS12                    8.52    9.05    7.73   36.07   -1.76   -1.04    0.40    0.38    0.46    0.52
GS13                    6.70    7.14    6.17   32.10   -1.78   -1.26    0.34    0.33    0.39    0.55
GS14                    5.19    5.56    4.86   28.25   -1.96   -1.50    0.27    0.26    0.32    0.51
GS15                    3.94    4.22    3.65   24.38   -1.95   -1.05    0.20    0.20    0.22    0.44
GS16                    2.98    3.19    2.76   20.76   -1.62   -1.04    0.17    0.16    0.19    0.45
GS17                    2.13    2.29    1.96   16.92   -1.70   -0.74    0.11    0.11    0.13    0.37
GS18                    1.47    1.58    1.31   13.10   -1.56   -0.04    0.08    0.08    0.09    0.33
GS19                    0.97    1.05    0.89    9.40   -1.71   -0.40    0.05    0.05    0.06    0.29
GS20                    0.52    0.57    0.51    5.11   -1.04   -0.81    0.04    0.03    0.03    0.19
GS21                    0.29    0.34    0.35    3.05   -1.33   -1.42    0.02    0.02    0.02    0.14
GS22                    0.12    0.15    0.17    1.32   -0.73   -0.97    0.01    0.01    0.01    0.07
Dmax                    0.08    0.09    0.08    0.78   -0.19   -0.09    0.00    0.00    0.00    0.03
END_DATA
